anno;O;D;EXPO_20;EXPO_40;IMPO_20;IMPO_40;VACÍOS_20;VACÍOS_40;provincia;DESTINO_PROVINCIA;region;DESTINO_REGION
2013;2;8;0;0;0;0;0;0;San Felipe;San Antonio;Valparaíso;Valparaíso
2013;2;9;1.045,20;2.020,40;0;0;34,9;57,9;San Felipe;San Antonio;Valparaíso;Valparaíso
2013;2;10;0;0;0;0;0;0;San Felipe;San Antonio;Valparaíso;Valparaíso
2013;2;11;0;0;0;0;0;0;San Felipe;San Antonio;Valparaíso;Valparaíso
2013;2;12;0;0;0;0;0;0;San Felipe;Valparaíso;Valparaíso;Valparaíso
2013;2;13;0;0;0;0;0;0;San Felipe;Cardenal Caro;Valparaíso;Libertador General Bernardo O'Higgins
2013;2;14;0;0;0;0;0;0;San Felipe;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;2;15;0;0;0;0;0;0;San Felipe;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;2;16;0;0;0;0;0;0;San Felipe;Colchagua;Valparaíso;Libertador General Bernardo O'Higgins
2013;2;17;0;0;0;0;0;0;San Felipe;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;2;18;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;19;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;20;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;21;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;22;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;23;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;24;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;25;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;26;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;27;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;28;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;29;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;30;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;31;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;32;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;33;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;34;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;35;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;36;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;37;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;38;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;39;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;40;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;41;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;42;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;43;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;44;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;45;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;46;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;47;0;0;0;0;0;0;San Felipe;Melipilla;Valparaíso;Santiago
2013;2;48;0;0;0;0;0;0;San Felipe;Melipilla;Valparaíso;Santiago
2013;2;49;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;50;0;0;0;0;0;0;San Felipe;Talagante;Valparaíso;Santiago
2013;2;51;0;0;0;0;0;0;San Felipe;Santiago;Valparaíso;Santiago
2013;2;52;0;0;0;0;0;0;San Felipe;Choapa;Valparaíso;Coquimbo
2013;2;53;0;0;0;0;0;0;San Felipe;Elqui;Valparaíso;Coquimbo
2013;2;54;0;0;0;0;0;0;San Felipe;Limarí;Valparaíso;Coquimbo
2013;2;55;0;0;0;0;0;0;San Felipe;Curicó;Valparaíso;Maule
2013;2;56;0;0;0;0;0;0;San Felipe;Talca;Valparaíso;Maule
2013;2;57;0;0;0;0;0;0;San Felipe;Linares;Valparaíso;Maule
2013;2;58;0;0;0;0;0;0;San Felipe;Cauquenes;Valparaíso;Maule
2013;2;59;0;0;0;0;0;0;San Felipe;Ñuble;Valparaíso;Bío-Bío
2013;2;60;0;0;0;0;0;0;San Felipe;Concepción;Valparaíso;Bío-Bío
2013;2;61;0;0;0;0;0;0;San Felipe;Biobío;Valparaíso;Bío-Bío
2013;2;62;0;0;0;0;0;0;San Felipe;Arauco;Valparaíso;Bío-Bío
2013;2;63;0;0;0;0;0;0;San Felipe;Arica;Valparaíso;Arica y Parinacota
2013;2;64;0;0;0;0;0;0;San Felipe;Magallanes;Valparaíso;Magallanes y Antártica Chilena
2013;2;777;0;0;0;0;0;0;San Felipe;Ancud;Valparaíso;Los Lagos
2013;3;1;0;0;0;0;0;0;Quillota;Petorca;Valparaíso;Valparaíso
2013;3;2;0;0;0;0;0;0;Quillota;San Felipe;Valparaíso;Valparaíso
2013;3;3;0;0;0;0;0;0;Quillota;Quillota;Valparaíso;Valparaíso
2013;3;4;0;0;0;0;0;0;Quillota;Los Andes;Valparaíso;Valparaíso
2013;3;5;0;0;0;0;632,4;1.047,70;Quillota;Valparaíso;Valparaíso;Valparaíso
2013;3;6;646,2;1.249,20;0;0;42,7;70,7;Quillota;Valparaíso;Valparaíso;Valparaíso
2013;3;7;334,9;647,4;0;0;730,6;1.210,40;Quillota;Valparaíso;Valparaíso;Valparaíso
2013;3;8;0;0;0;0;0;0;Quillota;San Antonio;Valparaíso;Valparaíso
2013;3;9;608,6;1.176,40;0;0;31;51,4;Quillota;San Antonio;Valparaíso;Valparaíso
2013;3;10;0;0;0;0;0;0;Quillota;San Antonio;Valparaíso;Valparaíso
2013;3;11;0;0;0;0;0;0;Quillota;San Antonio;Valparaíso;Valparaíso
2013;3;12;0;0;0;0;0;0;Quillota;Valparaíso;Valparaíso;Valparaíso
2013;3;13;0;0;0;0;0;0;Quillota;Cardenal Caro;Valparaíso;Libertador General Bernardo O'Higgins
2013;3;14;0;0;0;0;0;0;Quillota;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;3;15;0;0;0;0;0;0;Quillota;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;3;16;0;0;0;0;0;0;Quillota;Colchagua;Valparaíso;Libertador General Bernardo O'Higgins
2013;3;17;0;0;0;0;0;0;Quillota;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
2013;3;18;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;19;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;20;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;21;0;0;0;0;65,4;108,4;Quillota;Santiago;Valparaíso;Santiago
2013;3;22;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;23;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;24;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;25;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;26;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;27;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;28;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;29;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;30;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;31;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;32;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;33;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;34;0;0;0;0;70,3;116,4;Quillota;Santiago;Valparaíso;Santiago
2013;3;35;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;36;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;37;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;38;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;39;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;40;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;41;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;42;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;43;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;44;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;45;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;46;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;47;0;0;0;0;0;0;Quillota;Melipilla;Valparaíso;Santiago
2013;3;48;0;0;0;0;0;0;Quillota;Melipilla;Valparaíso;Santiago
2013;3;49;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;50;0;0;0;0;0;0;Quillota;Talagante;Valparaíso;Santiago
2013;3;51;0;0;0;0;0;0;Quillota;Santiago;Valparaíso;Santiago
2013;3;52;0;0;0;0;0;0;Quillota;Choapa;Valparaíso;Coquimbo
2013;3;53;0;0;0;0;0;0;Quillota;Elqui;Valparaíso;Coquimbo
2013;3;54;0;0;0;0;0;0;Quillota;Limarí;Valparaíso;Coquimbo
2013;3;55;0;0;0;0;0;0;Quillota;Curicó;Valparaíso;Maule
2013;3;56;0;0;0;0;0;0;Quillota;Talca;Valparaíso;Maule
2013;3;57;0;0;0;0;0;0;Quillota;Linares;Valparaíso;Maule
2013;3;58;0;0;0;0;0;0;Quillota;Cauquenes;Valparaíso;Maule
2013;3;59;0;0;0;0;0;0;Quillota;Ñuble;Valparaíso;Bío-Bío
2013;3;60;0;0;0;0;0;0;Quillota;Concepción;Valparaíso;Bío-Bío
2013;3;61;0;0;0;0;0;0;Quillota;Biobío;Valparaíso;Bío-Bío
2013;3;62;0;0;0;0;0;0;Quillota;Arauco;Valparaíso;Bío-Bío
2013;3;63;0;0;0;0;0;0;Quillota;Arica;Valparaíso;Arica y Parinacota
2013;3;64;0;0;0;0;0;0;Quillota;Magallanes;Valparaíso;Magallanes y Antártica Chilena
2013;3;777;0;0;0;0;0;0;Quillota;Ancud;Valparaíso;Los Lagos
2013;4;1;0;0;0;0;0;0;Los Andes;Petorca;Valparaíso;Valparaíso
2013;4;2;0;0;0;0;0;0;Los Andes;San Felipe;Valparaíso;Valparaíso
2013;4;3;0;0;0;0;0;0;Los Andes;Quillota;Valparaíso;Valparaíso
2013;4;4;0;0;0;0;0;0;Los Andes;Los Andes;Valparaíso;Valparaíso
2013;4;5;0;0;0;0;70,3;116,4;Los Andes;Valparaíso;Valparaíso;Valparaíso
2013;4;6;1.368,80;2.646,00;0;0;0;0;Los Andes;Valparaíso;Valparaíso;Valparaíso
2013;4;7;0;0;0;0;249,3;413;Los Andes;Valparaíso;Valparaíso;Valparaíso
2013;4;8;0;0;0;0;0;0;Los Andes;San Antonio;Valparaíso;Valparaíso
2013;4;9;605,7;1.170,90;0;0;214,1;354,8;Los Andes;San Antonio;Valparaíso;Valparaíso
2013;4;10;0;0;0;0;0;0;Los Andes;San Antonio;Valparaíso;Valparaíso
2013;4;11;0;0;0;0;0;0;Los Andes;San Antonio;Valparaíso;Valparaíso
2013;4;12;0;0;0;0;0;0;Los Andes;Valparaíso;Valparaíso;Valparaíso
2013;4;13;0;0;0;0;0;0;Los Andes;Cardenal Caro;Valparaíso;Libertador General Bernardo O'Higgins
2013;4;14;0;0;0;0;0;0;Los Andes;Cachapoal;Valparaíso;Libertador General Bernardo O'Higgins
