TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LAN ECUADOR       ;4.393;4.021;3.958;4.365;4.360;4.122;4.432;4.326;4.404;4.436;5.037;5.295;53.149
AVIANCA           ;7.078;6.627;7.343;8.569;10.363;8.478;10.143;9.137;8.960;10.231;9.673;11.430;108.032
L.A.C.S.A.        ;9.067;6.463;4.703;4.886;5.348;4.144;4.830;4.611;4.484;4.764;4.485;5.492;63.277
C.O.P.A.          ;19.253;16.915;13.125;15.119;18.892;15.886;18.155;15.108;15.525;15.756;13.949;17.640;195.323
AEROMEXICO        ;4.314;3.886;2.877;4.181;4.599;3.131;3.605;3.257;2.583;2.685;2.487;2.690;40.295
LATINOAMERICANAS  ;104.443;91.797;80.014;83.282;89.053;82.760;107.626;98.554;89.283;94.426;88.849;100.636;1.110.723
AIR CANADA        ;7.038;5.858;5.929;3.799;3.720;3.141;4.371;4.034;4.178;4.585;6.359;5.542;58.554
AMERICAN AIRLINES ;15.534;11.948;11.667;8.864;10.140;8.470;11.009;10.082;9.799;10.232;9.331;13.344;130.420
DELTA AIRLINES    ;6.573;5.321;5.430;4.753;5.054;4.749;6.058;5.362;5.518;5.057;4.567;4.889;63.331
UNITED AIRLINES   ;5.497;3.817;4.415;4.035;3.804;3.859;4.946;4.358;4.207;4.378;4.084;4.695;52.095
NORTEAMERICANAS   ;34.642;26.944;27.441;21.451;22.718;20.219;26.384;23.836;23.702;24.252;24.341;28.470;304.400
AIR EUROPA        ;2.046;1.643;171;0;0;0;0;0;0;0;0;0;3.860
IBERIA            ;12.561;10.474;10.695;8.908;9.268;8.729;8.433;8.056;8.371;7.526;6.810;9.892;109.723
AIR FRANCE        ;10.068;8.526;9.194;7.972;8.549;8.800;8.392;8.597;8.883;7.770;7.717;8.560;103.028
K.L.M.            ;3.334;2.851;2.354;3.523;3.268;3.552;4.692;4.350;3.472;3.627;3.775;4.673;43.471
EUROPEAS          ;28.009;23.494;22.414;20.403;21.085;21.081;21.517;21.003;20.726;18.923;18.302;23.125;260.082
QANTAS AIRWAYS    ;5.471;4.008;4.010;4.202;3.630;3.116;3.734;3.004;3.255;3.972;4.184;3.850;46.436
PACIFICO SUR      ;5.471;4.008;4.010;4.202;3.630;3.116;3.734;3.004;3.255;3.972;4.184;3.850;46.436
TOTAL GENERAL;400.334;349.387;319.163;311.671;320.131;298.450;365.125;345.515;327.834;344.253;335.928;367.909;4.085.700
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS TOTALES (Llegados+Salidos) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;4;0;0;0;96;1;0;112;0;1;0;0;214
LAN AIRLINES         ;385.697;361.060;352.401;327.098;338.045;319.562;356.168;356.058;340.668;364.801;358.381;371.792;4.231.731
LAN EXPRESS       ;208;0;114;0;0;0;0;0;0;0;0;0;322
ONE SPA           ;0;0;0;0;0;2;0;0;93;0;0;0;95
SKY AIRLINE       ;53.984;53.507;34.470;28.332;26.234;29.446;51.182;41.037;39.896;42.122;42.096;46.124;488.430
CHILENAS          ;439.893;414.567;386.985;355.430;364.375;349.011;407.350;397.207;380.657;406.924;400.477;417.916;4.720.792
AEROL. ARGENTINAS ;623;6.262;1.210;1.465;3.585;7.262;4.548;2.156;1.059;2.303;2.664;2.866;36.003
