TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
IBERIA            ;33.132;215.916;484.395;356.231;122.961;119.393;125.718;119.173;38.850;72.513;154.009;155.392;1.997.683
AIR FRANCE        ;108.220;76.653;179.461;125.325;110.823;88.298;169.169;81.435;94.729;229.833;356.370;450.552;2.070.868
CARGOLUX AIRLINES ;126.681;180.747;162.700;0;0;0;0;0;0;0;263.308;899.655;1.633.091
K.L.M.            ;42.365;22.950;86.377;51.370;46.736;47.744;48.997;51.332;47.132;150.915;175.345;233.440;1.004.703
MARTINAIR HOLLAND ;844.835;919.486;1.104.715;682.708;452.034;654.499;718.034;715.972;644.366;751.505;622.340;576.946;8.687.440
EUROPEAS          ;1.215.593;1.471.658;2.022.274;1.215.634;732.554;909.934;1.061.918;967.912;825.077;1.204.766;1.571.372;2.315.985;15.514.677
QANTAS AIRWAYS    ;105.776;57.579;51.714;126.177;146.711;146.504;82.826;99.288;79.495;78.723;78.167;71.912;1.124.872
PACIFICO SUR      ;105.776;57.579;51.714;126.177;146.711;146.504;82.826;99.288;79.495;78.723;78.167;71.912;1.124.872
TOTAL GENERAL;21.201.494;19.816.239;22.155.272;20.364.719;15.968.308;18.735.136;18.967.674;19.295.288;19.026.126;20.277.803;24.063.153;26.439.559;246.310.771
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;0;0;0;0;19;1;0;88;0;1;0;0;109
LAN AIRLINES         ;624.134;651.386;632.287;546.583;585.035;581.943;631.323;645.721;621.373;695.126;662.769;666.491;7.544.167
LAN EXPRESS       ;511;0;0;0;0;0;0;0;0;0;0;0;511
ONE SPA           ;0;0;0;0;0;0;0;0;74;0;0;0;74
SKY AIRLINE       ;44.700;55.337;35.337;25.129;24.311;28.758;50.013;38.481;38.134;39.882;39.133;42.527;461.737
CHILENAS          ;669.345;706.723;667.624;571.712;609.365;610.702;681.336;684.290;659.581;735.009;701.902;709.018;8.006.598
AEROL. ARGENTINAS ;378;3.361;712;772;2.007;4.562;2.463;1.084;598;1.311;1.399;1.817;20.463
AUSTRAL           ;13.784;8.863;12.564;12.564;10.691;9.253;12.562;12.821;12.403;12.947;12.827;12.948;144.227
LAN ARGENTINA     ;0;59;153;157;164;939;252;155;353;192;180;137;2.740
LAN PERU          ;26.188;27.600;27.509;23.061;21.280;23.026;19.050;21.497;22.839;30.831;31.097;25.038;299.014
AMASZONAS S.A.    ;0;644;678;519;437;528;813;694;610;499;516;574;6.514
GOL TRANS         ;18.633;20.088;16.839;16.276;16.079;20.648;40.746;28.965;18.922;17.586;17.526;24.261;256.567
T.A.M. LINEAS AEREAS;55.666;57.648;56.437;45.085;43.766;46.497;81.977;74.845;66.232;70.334;58.965;66.561;724.012
T.A.M.            ;4.300;3.583;2.044;1.801;1.812;2.653;4.079;3.675;2.482;3.099;2.233;3.077;34.838
LAN ECUADOR       ;13.602;13.851;14.356;11.869;11.541;11.734;12.446;13.695;13.770;15.032;15.487;13.238;160.621
AVIANCA           ;9.904;33.827;44.177;33.677;43.489;42.156;36.881;43.625;42.563;49.686;46.742;45.252;471.980
L.A.C.S.A.        ;6.564;19.977;13.239;12.656;12.344;10.869;11.139;13.549;12.231;13.296;12.600;12.706;151.171
C.O.P.A.          ;82.646;95.028;86.365;69.408;92.367;89.397;85.985;91.040;88.388;94.365;74.963;82.310;1.032.263
AEROMEXICO        ;22.139;31.673;28.886;21.777;29.440;23.398;21.836;22.574;18.423;20.722;15.840;22.086;278.794
LATINOAMERICANAS  ;253.804;316.202;303.959;249.622;285.417;285.660;330.229;328.219;299.814;329.900;290.375;310.005;3.583.204
AIR CANADA        ;46.190;36.661;29.780;17.604;19.296;18.685;21.701;25.327;24.125;28.411;38.652;38.153;344.584
AMERICAN AIRLINES ;106.822;109.916;107.185;64.162;79.376;69.970;80.727;79.718;79.084;85.250;85.837;112.103;1.060.145
DELTA AIRLINES    ;41.032;45.175;45.465;31.947;38.259;36.090;43.233;44.063;34.234;45.018;38.095;41.901;484.511
UNITED AIRLINES   ;34.253;39.273;38.191;26.904;29.256;31.247;34.509;35.726;32.623;40.062;36.192;40.093;418.330
NORTEAMERICANAS   ;228.297;231.025;220.621;140.617;166.187;155.992;180.170;184.834;170.066;198.741;198.776;232.250;2.307.570
AIR EUROPA        ;6.206;8.181;1.925;0;0;0;0;0;0;0;0;0;16.312
IBERIA            ;95.865;128.445;106.993;68.266;78.997;100.106;107.775;100.749;102.313;119.706;132.568;120.734;1.262.516
AIR FRANCE        ;112.943;107.729;106.667;75.361;80.073;104.848;109.923;101.973;107.111;116.803;112.838;109.957;1.246.224
K.L.M.            ;4.533;3.316;3.266;3.439;3.089;3.677;5.968;4.145;4.481;4.198;4.524;6.167;50.802
EUROPEAS          ;219.547;247.671;218.851;147.066;162.159;208.631;223.666;206.867;213.905;240.707;249.930;236.858;2.575.854
QANTAS AIRWAYS    ;62.796;57.185;59.928;59.758;60.098;55.542;58.647;60.540;60.597;60.812;62.921;73.780;732.604
PACIFICO SUR      ;62.796;57.185;59.928;59.758;60.098;55.542;58.647;60.540;60.597;60.812;62.921;73.780;732.604
TOTAL GENERAL;1.433.789;1.558.806;1.470.983;1.168.775;1.283.226;1.316.527;1.474.048;1.464.750;1.403.963;1.565.169;1.503.904;1.561.911;17.205.830
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) SALIDOS DESDE CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;1;0;0;0;19;0;0;86;0;0;0;0;106
LAN AIRLINES         ;703.813;609.816;595.012;578.954;606.745;555.549;643.241;639.338;622.969;669.628;639.900;685.498;7.550.471
LAN EXPRESS       ;0;0;130;0;0;0;0;0;0;0;0;0;130
ONE SPA           ;0;0;0;0;0;2;0;0;72;0;0;0;74
SKY AIRLINE       ;52.428;45.675;27.562;25.969;23.425;27.313;52.260;38.992;38.585;38.241;40.756;49.294;460.500
CHILENAS          ;756.242;655.491;622.704;604.923;630.189;582.864;695.501;678.416;661.626;707.869;680.656;734.792;8.011.281
AEROL. ARGENTINAS ;374;3.899;701;1.113;2.207;3.668;2.718;1.309;608;1.312;1.636;1.448;20.990
AUSTRAL           ;22.327;17.205;17.191;16.672;14.085;8.541;10.814;12.996;12.260;13.069;12.651;11.429;169.242
LAN ARGENTINA     ;0;180;139;132;114;895;155;151;170;185;164;69;2.354
LAN PERU          ;28.387;24.251;24.588;23.171;22.433;21.799;19.365;18.782;21.499;29.901;28.116;35.852;298.144
TACA-PERU         ;0;0;0;0;0;0;0;0;0;0;167;0;167
AMASZONAS S.A.    ;967;619;592;529;567;498;832;713;523;429;470;622;7.360
GOL TRANS         ;25.180;19.349;15.962;16.477;15.639;19.827;37.951;32.860;19.553;16.874;16.844;19.374;255.888
T.A.M. LINEAS AEREAS;63.137;57.007;50.461;45.556;45.608;43.785;75.541;70.452;62.025;60.813;54.505;58.808;687.699
T.A.M.            ;3.796;3.341;1.959;2.038;2.112;2.950;4.296;3.311;2.806;3.079;2.518;3.099;35.305
LAN ECUADOR       ;14.139;12.594;12.660;13.794;14.355;13.362;14.392;14.077;13.746;14.006;16.072;16.585;169.785
AVIANCA           ;31.354;35.334;31.186;36.393;44.012;36.006;43.077;38.805;38.053;43.451;41.081;48.543;467.294
L.A.C.S.A.        ;33.108;30.175;11.565;12.015;13.151;10.190;11.877;11.338;11.026;11.715;11.029;13.505;180.692
C.O.P.A.          ;92.511;81.277;63.066;72.647;90.776;76.332;86.783;72.594;74.598;75.708;67.025;84.760;938.075
AEROMEXICO        ;28.425;25.605;18.957;27.549;30.303;20.630;23.753;21.460;17.019;17.691;16.387;17.724;265.504
LATINOAMERICANAS  ;343.705;310.836;249.027;268.086;295.362;258.483;331.554;298.848;273.886;288.233;268.665;311.818;3.498.499
AIR CANADA        ;41.072;33.256;36.441;24.001;22.434;18.414;21.872;20.268;22.225;22.930;26.993;27.727;317.631
AMERICAN AIRLINES ;110.749;85.754;84.867;65.380;73.997;62.104;81.690;74.987;72.642;75.846;68.874;96.186;953.076
DELTA AIRLINES    ;51.480;41.674;42.528;37.225;39.583;37.194;47.446;41.995;43.217;39.606;35.769;38.291;496.008
UNITED AIRLINES   ;41.310;28.685;33.179;30.323;28.587;29.000;37.169;32.750;31.616;32.901;30.691;35.283;391.494
NORTEAMERICANAS   ;244.611;189.369;197.015;156.929;164.601;146.712;188.177;170.000;169.700;171.283;162.327;197.487;2.158.209
AIR EUROPA        ;8.505;6.830;711;0;0;0;0;0;0;0;0;0;16.046
IBERIA            ;134.528;112.177;114.543;95.405;99.260;93.488;90.317;86.280;89.653;80.603;72.935;105.943;1.175.133
AIR FRANCE        ;117.433;99.489;107.239;92.985;99.716;102.643;97.884;100.275;103.611;90.629;90.011;99.844;1.201.761
K.L.M.            ;27.366;21.331;17.984;22.574;22.447;27.560;26.806;28.165;17.183;19.391;19.310;25.166;275.281
EUROPEAS          ;287.832;239.827;240.477;210.964;221.423;223.691;215.007;214.720;210.447;190.623;182.256;230.953;2.668.221
QANTAS AIRWAYS    ;62.014;45.431;45.453;47.630;41.146;35.320;42.325;34.050;36.895;45.023;47.426;43.640;526.352
PACIFICO SUR      ;62.014;45.431;45.453;47.630;41.146;35.320;42.325;34.050;36.895;45.023;47.426;43.640;526.352
TOTAL GENERAL;1.694.404;1.440.954;1.354.676;1.288.532;1.352.721;1.247.070;1.472.564;1.396.034;1.352.554;1.403.031;1.341.330;1.518.690;16.862.562
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TOTALES (Llegados+Salidos) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;1;0;0;0;37;1;0;175;0;1;0;0;215
LAN AIRLINES         ;1.327.943;1.261.205;1.227.300;1.125.536;1.191.778;1.137.495;1.274.561;1.285.058;1.244.346;1.364.758;1.302.668;1.351.991;15.094.636
LAN EXPRESS       ;511;0;130;0;0;0;0;0;0;0;0;0;641
ONE SPA           ;0;0;0;0;0;2;0;0;146;0;0;0;148
SKY AIRLINE       ;97.130;101.011;62.897;51.099;47.737;56.072;102.273;77.472;76.718;78.122;79.889;91.821;922.238
CHILENAS          ;1.425.585;1.362.216;1.290.327;1.176.635;1.239.552;1.193.570;1.376.834;1.362.705;1.321.210;1.442.881;1.382.557;1.443.812;16.017.878
AEROL. ARGENTINAS ;752;7.260;1.413;1.885;4.214;8.230;5.180;2.392;1.206;2.623;3.034;3.264;41.453
AUSTRAL           ;36.111;26.068;29.755;29.236;24.776;17.795;23.376;25.817;24.663;26.016;25.478;24.377;313.469
LAN ARGENTINA     ;0;239;292;289;278;1.834;407;306;523;377;344;206;5.095
LAN PERU          ;54.575;51.850;52.096;46.232;43.714;44.825;38.414;40.278;44.338;60.732;59.213;60.890;597.158
TACA-PERU         ;0;0;0;0;0;0;0;0;0;0;167;0;167
AMASZONAS S.A.    ;967;1.263;1.270;1.049;1.004;1.027;1.645;1.407;1.134;927;984;1.196;13.873
GOL TRANS         ;43.813;39.437;32.801;32.752;31.718;40.475;78.696;61.824;38.475;34.460;34.370;43.634;512.456
T.A.M. LINEAS AEREAS;118.804;114.655;106.898;90.640;89.374;90.281;157.518;145.296;128.257;131.146;113.470;125.370;1.411.710
T.A.M.            ;8.096;6.924;4.004;3.839;3.923;5.603;8.374;6.987;5.288;6.178;4.751;6.176;70.142
LAN ECUADOR       ;27.740;26.447;27.016;25.664;25.897;25.096;26.839;27.772;27.516;29.038;31.559;29.822;330.406
AVIANCA           ;41.258;69.161;75.363;70.069;87.501;78.162;79.958;82.430;80.617;93.137;87.824;93.795;939.274
L.A.C.S.A.        ;39.672;50.153;24.804;24.671;25.495;21.059;23.016;24.888;23.257;25.010;23.629;26.210;331.864
C.O.P.A.          ;175.157;176.305;149.431;142.055;183.143;165.729;172.769;163.634;162.986;170.073;141.988;167.070;1.970.338
AEROMEXICO        ;50.564;57.278;47.843;49.325;59.742;44.028;45.589;44.034;35.442;38.414;32.227;39.811;544.298
LATINOAMERICANAS  ;597.509;627.040;552.986;517.706;580.779;544.144;661.781;627.065;573.702;618.131;559.038;621.821;7.081.703
AIR CANADA        ;87.263;69.916;66.220;41.605;41.730;37.098;43.573;45.595;46.350;51.341;65.644;65.879;662.216
AMERICAN AIRLINES ;217.571;195.668;192.050;129.542;153.372;132.074;162.417;154.705;151.726;161.095;154.711;208.289;2.013.221
DELTA AIRLINES    ;92.512;86.849;87.993;69.172;77.842;73.284;90.679;86.058;77.451;84.625;73.864;80.192;980.519
UNITED AIRLINES   ;75.563;67.958;71.370;57.227;57.843;60.248;71.678;68.477;64.238;72.963;66.884;75.375;809.824
NORTEAMERICANAS   ;472.909;420.391;417.633;297.546;330.787;302.704;368.347;354.835;339.765;370.024;361.103;429.735;4.465.780
AIR EUROPA        ;14.712;15.011;2.636;0;0;0;0;0;0;0;0;0;32.358
IBERIA            ;230.394;240.622;221.536;163.670;178.257;193.594;198.092;187.029;191.966;200.309;205.503;226.677;2.437.650
AIR FRANCE        ;230.376;207.218;213.906;168.347;179.789;207.491;207.807;202.248;210.722;207.433;202.849;209.800;2.447.984
K.L.M.            ;31.899;24.646;21.250;26.013;25.536;31.236;32.774;32.309;21.664;23.589;23.834;31.332;326.083
EUROPEAS          ;507.381;487.497;459.328;358.030;383.582;432.321;438.673;421.586;424.352;431.331;432.186;467.809;5.244.075
QANTAS AIRWAYS    ;124.810;102.616;105.381;107.388;101.244;90.861;100.972;94.591;97.492;105.835;110.346;117.419;1.258.956
PACIFICO SUR      ;124.810;102.616;105.381;107.388;101.244;90.861;100.972;94.591;97.492;105.835;110.346;117.419;1.258.956
TOTAL GENERAL;3.128.194;2.999.760;2.825.655;2.457.305;2.635.944;2.563.600;2.946.607;2.860.782;2.756.521;2.968.202;2.845.230;3.080.596;34.068.392
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) LLEGADAS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LAN CARGO            ;8.030;10.985;11.687;13.382;12.380;12.779;12.633;13.118;10.998;12.876;13.074;11.477;143.422
LAN AIRLINES         ;18.988;18.962;20.671;20.282;20.495;19.844;19.336;19.799;20.903;23.290;22.495;21.618;246.685
LAN EXPRESS       ;11;0;0;0;0;0;0;0;0;0;0;0;11
SKY AIRLINE       ;0;0;46;0;0;0;0;0;0;0;0;17;63
CHILENAS          ;27.029;29.947;32.404;33.664;32.875;32.623;31.969;32.917;31.901;36.166;35.569;33.112;390.181
AEROL. ARGENTINAS ;1;0;0;0;0;0;0;0;0;2;3;3;9
AUSTRAL           ;0;1;3;3;3;1;3;0;1;12;11;9;48
LAN PERU          ;53;39;50;32;23;34;13;14;59;56;135;113;622
GOL TRANS         ;0;0;0;0;0;0;0;0;0;0;21;64;85
LAN ECUADOR       ;12;39;24;52;59;38;31;28;30;27;6;2;346
AVIANCA           ;780;946;1.257;1.305;1.251;1.486;1.465;1.128;1.193;1.573;1.546;1.214;15.145
L.A.C.S.A.        ;0;12;61;62;49;55;47;51;45;50;51;51;535
AEROMEXICO        ;920;1.035;1.313;1.441;1.135;1.255;1.120;1.032;960;1.402;1.225;1.105;13.945
LATINOAMERICANAS  ;1.766;2.072;2.708;2.895;2.520;2.869;2.679;2.253;2.288;3.122;2.998;2.561;30.735
AIR CANADA        ;6.851;1.465;1.824;751;774;701;542;351;518;846;1.914;1.491;18.027
AMERICAN AIRLINES ;1.380;1.628;1.855;1.653;2.040;1.609;1.681;2.572;2.374;1.481;2.459;3.042;23.773
ATLAS AIR INC.    ;5.974;6.642;6.957;6.107;5.445;10.231;5.968;7.545;5.874;6.363;9.059;8.902;85.066
CENTURION AIR CARGO;0;0;96;0;0;0;1.870;406;1.769;92;294;0;4.527
DELTA AIRLINES    ;497;443;564;439;486;470;490;847;470;486;470;486;6.146
UNITED AIRLINES   ;555;463;601;908;635;1.252;1.521;1.376;1.521;1.650;1.380;1.564;13.423
NORTEAMERICANAS   ;15.257;10.641;11.897;9.858;9.380;14.263;12.072;13.097;12.526;10.918;15.576;15.485;150.962
AIR EUROPA        ;106;161;10;0;0;0;0;0;0;0;0;0;277
IBERIA            ;0;293;925;56;0;0;0;0;0;0;0;0;1.274
AIR FRANCE        ;1.103;759;1.028;1.462;1.126;1.030;802;948;1.105;812;803;1.049;12.027
CARGOLUX AIRLINES ;1.295;1.958;1.884;0;0;0;0;0;0;0;310;1.545;6.992
K.L.M.            ;48;26;60;59;53;54;56;58;54;99;49;40;657
MARTINAIR HOLLAND ;7.247;8.571;9.049;7.206;4.649;6.280;7.196;7.153;6.506;7.968;6.094;5.071;82.989
EUROPEAS          ;9.799;11.768;12.956;8.783;5.828;7.364;8.054;8.159;7.665;8.879;7.256;7.705;104.216
QANTAS AIRWAYS    ;391;454;456;614;599;507;538;434;591;541;700;585;6.410
PACIFICO SUR      ;391;454;456;614;599;507;538;434;591;541;700;585;6.410
TOTAL GENERAL;54.242;54.882;60.421;55.814;51.202;57.626;55.312;56.860;54.971;59.626;62.099;59.448;682.504
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) SALIDAS DESDE CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LAN CARGO            ;9.783;7.265;13.544;10.619;5.129;6.499;5.067;5.103;6.241;4.878;9.379;19.296;102.808
LAN AIRLINES         ;35.197;33.727;32.702;32.034;23.250;26.947;30.087;29.429;32.123;34.493;34.995;38.052;383.041
SKY AIRLINE       ;146;193;235;141;103;150;88;143;106;115;219;163;1.805
CHILENAS          ;45.126;41.185;46.481;42.794;28.482;33.596;35.242;34.675;38.470;39.486;44.593;57.511;487.654
AEROL. ARGENTINAS ;1;5;0;19;4;5;7;4;1;4;3;3;56
AUSTRAL           ;34;27;19;19;19;17;21;18;28;15;22;26;265
LAN ARGENTINA     ;0;0;0;0;0;1;8;0;0;1;0;0;9
LAN PERU          ;0;2;1;5;0;1;1;0;0;4;0;1;15
GOL TRANS         ;0;0;0;0;0;0;0;0;0;0;14;56;70
LAN ECUADOR       ;11;11;13;6;2;4;2;1;0;6;2;5;63
AVIANCA           ;1.516;1.436;1.529;1.356;918;1.136;1.302;1.145;1.079;1.729;1.629;1.952;16.727
LANCO (CARGA)     ;295;0;0;107;0;0;0;0;0;0;0;0;402
L.A.C.S.A.        ;54;89;72;81;63;82;59;61;49;64;53;74;801
C.O.P.A.          ;0;0;0;0;0;0;41;0;0;0;0;0;41
AEROMEXICO        ;2.583;2.506;2.306;2.229;1.527;1.491;1.656;1.759;1.854;1.858;1.905;1.838;23.512
LATINOAMERICANAS  ;4.494;4.076;3.940;3.822;2.533;2.737;3.097;2.988;3.011;3.681;3.628;3.955;41.961
AIR CANADA        ;1.222;2.053;2.337;598;461;523;724;744;518;1.078;2.923;4.529;17.707
AMERICAN AIRLINES ;6.059;5.635;6.125;4.971;5.498;4.642;4.494;6.686;5.208;4.609;5.492;6.721;66.138
ATLAS AIR INC.    ;10.396;10.235;10.846;10.295;8.230;10.395;8.507;11.019;9.606;10.387;22.734;20.155;142.804
CENTURION AIR CARGO;0;0;435;0;0;0;2.987;1.122;1.454;0;539;0;6.537
DELTA AIRLINES    ;3.536;2.799;2.885;2.632;2.181;3.572;3.964;5.487;4.620;5.848;2.803;2.668;42.996
UNITED AIRLINES   ;1.329;2.227;2.240;2.834;1.678;2.298;2.859;2.295;2.491;3.118;3.370;4.051;30.789
NORTEAMERICANAS   ;22.542;22.949;24.868;21.330;18.048;21.430;23.535;27.353;23.897;25.040;37.861;38.124;306.971
AIR EUROPA        ;145;71;9;0;0;0;0;0;0;0;0;0;226
IBERIA            ;355;2.019;4.263;3.759;1.317;1.279;1.346;1.276;416;777;1.649;1.664;20.121
AIR FRANCE        ;159;135;1.065;0;167;0;1.170;0;0;1.869;3.354;4.206;12.125
CARGOLUX AIRLINES ;277;285;134;0;0;0;0;0;0;0;2.957;9.615;13.267
K.L.M.            ;0;0;352;0;0;0;0;0;0;557;1.000;1.514;3.424
MARTINAIR HOLLAND ;1.023;615;2.349;611;431;983;1.066;1.061;936;729;1.194;1.715;12.715
EUROPEAS          ;1.959;3.125;8.172;4.370;1.915;2.262;3.582;2.337;1.352;3.932;10.154;18.714;61.878
QANTAS AIRWAYS    ;808;199;131;816;1.064;1.154;400;692;310;351;186;230;6.341
PACIFICO SUR      ;808;199;131;816;1.064;1.154;400;692;310;351;186;230;6.341
TOTAL GENERAL;74.929;71.534;83.592;73.132;52.042;61.179;65.856;68.045;67.040;72.490;96.422;118.534;904.805
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TOTALES (Llegadas+Salidas) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LAN CARGO            ;17.813;18.249;25.231;24.001;17.508;19.278;17.700;18.219;17.240;17.754;22.452;30.773;246.230
LAN AIRLINES         ;54.188;52.690;53.373;52.317;43.742;46.788;49.424;49.229;53.029;57.784;57.491;59.675;629.734
LAN EXPRESS       ;11;0;0;0;0;0;0;0;0;0;0;0;11
SKY AIRLINE       ;146;193;281;141;103;150;88;143;106;115;219;181;1.868
CHILENAS          ;72.158;71.132;78.885;76.459;61.353;66.216;67.212;67.591;70.375;75.653;80.162;90.629;877.843
AEROL. ARGENTINAS ;2;5;0;19;4;5;7;4;1;6;6;5;65
AUSTRAL           ;34;28;22;22;22;18;24;19;29;27;33;34;313
LAN ARGENTINA     ;0;0;0;0;0;1;8;0;0;1;0;0;9
LAN PERU          ;53;40;51;37;23;35;13;14;59;60;135;115;637
GOL TRANS         ;0;0;0;0;0;0;0;0;0;0;35;119;155
LAN ECUADOR       ;23;50;37;58;61;42;33;28;30;33;8;6;409
AVIANCA           ;2.296;2.383;2.787;2.661;2.169;2.622;2.767;2.273;2.272;3.301;3.175;3.166;31.872
LANCO (CARGA)     ;295;0;0;107;0;0;0;0;0;0;0;0;402
L.A.C.S.A.        ;54;101;132;143;112;138;107;113;94;114;104;125;1.337
C.O.P.A.          ;0;0;0;0;0;0;41;0;0;0;0;0;41
AEROMEXICO        ;3.503;3.541;3.620;3.671;2.662;2.746;2.776;2.792;2.814;3.260;3.130;2.943;37.457
LATINOAMERICANAS  ;6.260;6.148;6.649;6.718;5.053;5.607;5.776;5.243;5.299;6.802;6.626;6.513;72.697
AIR CANADA        ;8.072;3.517;4.160;1.349;1.236;1.225;1.265;1.094;1.036;1.925;4.837;6.019;35.735
AMERICAN AIRLINES ;7.439;7.264;7.980;6.624;7.537;6.251;6.175;9.258;7.581;6.091;7.950;9.762;89.911
ATLAS AIR INC.    ;16.370;16.877;17.803;16.402;13.675;20.626;14.474;18.565;15.480;16.750;31.793;29.058;227.870
CENTURION AIR CARGO;0;0;531;0;0;0;4.857;1.527;3.223;92;833;0;11.062
DELTA AIRLINES    ;4.034;3.242;3.448;3.070;2.667;4.042;4.454;6.335;5.090;6.333;3.273;3.154;49.142
UNITED AIRLINES   ;1.885;2.690;2.841;3.742;2.313;3.549;4.380;3.671;4.011;4.767;4.750;5.614;44.213
NORTEAMERICANAS   ;37.800;33.590;36.763;31.187;27.428;35.693;35.605;40.450;36.421;35.958;53.436;53.607;457.933
AIR EUROPA        ;251;232;19;0;0;0;0;0;0;0;0;0;503
IBERIA            ;355;2.312;5.188;3.815;1.317;1.279;1.346;1.276;416;777;1.649;1.664;21.395
AIR FRANCE        ;1.262;894;2.093;1.462;1.293;1.030;1.972;948;1.105;2.681;4.157;5.255;24.152
CARGOLUX AIRLINES ;1.571;2.242;2.018;0;0;0;0;0;0;0;3.266;11.160;20.258
K.L.M.            ;48;26;412;59;53;54;56;58;54;656;1.050;1.554;4.080
MARTINAIR HOLLAND ;8.270;9.185;11.398;7.817;5.080;7.263;8.262;8.213;7.442;8.697;7.288;6.786;95.703
EUROPEAS          ;11.757;14.891;21.128;13.153;7.743;9.626;11.636;10.495;9.017;12.811;17.410;26.419;166.091
QANTAS AIRWAYS    ;1.199;653;586;1.430;1.663;1.661;939;1.125;901;892;886;815;12.750
PACIFICO SUR      ;1.199;653;586;1.430;1.663;1.661;939;1.125;901;892;886;815;12.750
TOTAL GENERAL;129.174;126.414;144.011;128.947;103.240;118.803;121.168;124.904;122.013;132.116;158.520;177.983;1.587.314
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
