TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
AERODESIERTO      ;0;0;0;0;0;802;486;0;0;0;0;0;1.288;
AEROVIAS D.A.P.   ;8.453;7.320;8.385;7.252;5.166;5.222;6.140;5.842;5.145;6.368;6.634;9.290;81.217;
LAN AIRLINES         ;242.489;234.889;200.731;196.724;193.968;178.490;225.332;183.843;186.158;230.675;240.030;214.664;2.527.993;
LAN EXPRESS       ;475.798;444.078;404.575;357.789;360.178;325.995;426.845;395.819;375.597;413.747;434.610;380.982;4.796.013;
ONE SPA           ;2.503;2.691;4.362;2.200;2.413;2.467;3.293;3.104;2.859;3.374;2.982;2.927;35.175;
SKY AIRLINE       ;230.940;233.078;203.285;179.843;170.308;170.806;216.963;196.892;201.142;217.970;228.621;206.580;2.456.428;
TOTAL GENERAL;960.183;922.056;821.338;743.808;732.033;683.782;879.059;785.500;770.901;872.134;912.877;814.443;9.898.114;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
LAN CARGO            ;0;0;79.138;0;0;0;0;0;0;0;0;0;79.138;
LAN AIRLINES         ;779.509;734.440;905.164;872.686;794.814;812.275;933.734;884.340;804.562;1.029.277;1.019.073;972.355;10.542.229;
LAN EXPRESS       ;914.803;834.057;944.851;994.384;862.026;1.056.038;1.066.155;914.468;918.448;969.194;985.386;965.387;11.425.197;
SKY AIRLINE       ;252.241;225.561;271.866;253.344;238.437;260.350;214.181;207.636;233.549;268.222;280.233;272.418;2.978.038;
TOTAL GENERAL;1.946.553;1.794.058;2.201.019;2.120.414;1.895.277;2.128.663;2.214.070;2.006.444;1.956.559;2.266.693;2.284.692;2.210.160;25.024.602;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TRANSPORTADOS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
AERODESIERTO      ;0;0;0;0;0;596;418;0;0;0;0;0;1.014;
AEROVIAS D.A.P.   ;6.205;5.313;5.662;5.304;3.068;3.081;4.523;3.874;3.127;3.785;3.893;7.413;55.247;
LAN AIRLINES         ;336.279;334.916;283.406;277.089;269.259;242.686;323.112;265.012;268.872;338.234;358.065;324.355;3.621.284;
LAN EXPRESS       ;486.233;454.812;403.554;343.297;346.369;308.082;417.789;378.260;366.065;392.353;411.864;379.649;4.688.325;
ONE SPA           ;3.211;3.204;5.210;2.707;3.178;2.944;4.257;4.124;3.745;4.660;3.551;3.568;44.360;
SKY AIRLINE       ;226.759;226.097;197.755;171.058;162.109;163.979;220.574;200.341;205.687;221.443;240.987;223.481;2.460.266;
TOTAL GENERAL;1.058.687;1.024.342;895.587;799.455;783.983;721.368;970.673;851.611;847.496;960.475;1.018.360;938.466;10.870.496;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TRANSPORTADAS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL;
LAN CARGO            ;0;0;88;0;0;0;0;0;0;0;0;0;88;
LAN AIRLINES         ;2.049;2.004;2.316;2.302;2.170;2.130;2.326;2.355;2.100;2.632;2.640;2.463;27.492;
LAN EXPRESS       ;1.202;1.070;1.196;1.271;1.179;1.454;1.462;1.264;1.243;1.296;1.311;1.268;15.221;
SKY AIRLINE       ;367;322;375;354;345;391;320;303;336;398;423;415;4.359;
TOTAL GENERAL;3.618;3.396;3.975;3.927;3.694;3.975;4.108;3.922;3.679;4.326;4.374;4.146;47.160;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
