;Economy;Trading Across Borders DTF;Trading Across Borders rank;Time to export: Border compliance (hours);Cost to export: Border compliance (USD);Time to export: Documentary compliance (hours);Cost to export: Documentary compliance (USD);Time to import: Border compliance (hours);Cost to import: Border compliance (USD);Time to import: Documentary compliance (hours);Cost to import: Documentary compliance (USD)
Region;;;;;;;;;;;
;Bulgaria;97,41;21;4;55;2;52;1;0;1;0
;Burkina Faso;66,58;104;75;261;84;86;102;265;96;197
;Burundi;47,38;160;59;106;120;150;154;444;180;1025
;Cabo Verde;64,74;113;90;630;48;125;60;588;48;125
;Cambodia;67,28;102;48;375;132;100;8;240;132;120
;Cameroon;15,99;186;202;983;66;306;271;1407;163;849
;Canada;88,36;46;2;167;1;156;2;172;1;163
;Central African Republic;58,64;138;141;280;48;60;98;209;120;500
;Chad;40,12;171;106;319;87;188;242;669;172;500
;Chile;80,56;65;60;290;24;50;54;290;36;50
;China;69,13;96;26;522;21;85;92;777;66;171
;China - Beijing;67,42;;29;425;30;78;117;760;80;196
;China - Shanghai;70,52;;23;602;14;90;72;790;54;150
;Colombia;62,83;121;112;545;60;90;112;545;64;50
;Comoros;66,18;107;51;651;57;124;70;765;29;93
;Congo, Dem Rep;1,26;188;515;2223;698;2500;588;3039;216;875
;Congo, Rep;19,68;182;276;1975;120;165;397;1581;208;310
;Costa Rica;79,32;71;20;375;24;80;80;420;26;75
;Cote d’Ivoire;54,15;150;110;387;120;136;125;456;89;267
;Croatia;100;1;0;0;1;0;0;0;1;0
;Cyprus;88,44;45;18;300;2;50;15;335;2;50
;Czech Republic;100;1;0;0;1;0;0;0;1;0
;Denmark;100;1;0;0;1;0;0;0;1;0
;Djibouti;51,87;155;109;944;72;95;78;1209;50;100
;Dominica;74,26;80;36;625;12;50;39;906;24;50
;Dominican Republic;83,51;58;16;488;10;15;24;579;14;40
;Ecuador;68,65;97;96;560;24;140;24;250;120;75
;Egypt, Arab Rep;42,23;168;48;258;88;100;240;554;265;1000
;El Salvador;88,49;44;38;128;9;50;40;128;13;67
;Equatorial Guinea;32,05;174;132;760;154;85;240;985;240;70
;Eritrea;0;189;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
;Estonia;99,92;17;2;0;1;0;0;0;1;0
;Ethiopia;42,39;167;57;144;91;175;203;668;209;750
;Fiji;77,57;75;56;317;56;76;42;320;34;58
;Finland;92,44;33;36;213;2;70;2;0;1;0
;France;100;1;0;0;1;0;0;0;1;0
;Gabon;43,94;166;96;1633;60;200;84;1320;120;170
;Gambia, The;65,27;112;109;381;61;183;87;326;32;152
;Georgia;85,15;54;14;383;2;35;15;396;2;189
;Germany;91,77;38;36;345;1;45;0;0;1;0
;Ghana;52,32;154;108;490;89;155;89;553;76;474
;Greece;93,72;29;24;300;1;30;1;0;1;0
;Grenada;61,52;126;101;1034;13;40;37;1745;24;50
;Guatemala;75,31;77;36;310;48;105;72;405;32;140
;Guinea;46,24;162;72;778;139;128;91;909;156;180
;Guinea-Bissau;52,86;153;67;677;60;316;72;755;36;384
;Guyana;59,33;135;72;378;200;78;84;265;156;63
;Haiti;76,69;76;28;368;22;48;83;583;28;150
;Honduras;65,85;109;88;601;48;80;96;483;72;70
