IMPORTACIONES CLASIFICADAS POR TIPO DE BIEN ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Millones de d¢lares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A¤o;Mes;Bienes de Consumo;;;;;;;;;;;;;;;;;;Bienes Intermedios (3);;;;;;;;;;;;;;;;;;;;Bienes de Capital;;;;;;;;;;;;;Total de importaci¢n de bienes (cif);Total de importaci¢n de bienes (fob)
;;;Durables (1);;;;;;Semidurables (2);;;Otros bienes de consumo;;;;;;;;;Productos Energ‚ticos;;;;;;;Resto Intermedios;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Autom¢viles;Computadores;Celulares;Televisores;Electr¢domesticos;;Vestuario;Calzado;;Carne;Otros alimentos;Bebidas y alcoholes;Gasolinas;Gas licuado;Medicamentos;Perfumes;;;Petr¢leo;Di‚sel;Carb¢n mineral;Gas natural licuado;Gas natural gaseoso;Aceite lubricante;;Productos qu¡micos;Abono;Productos met licos;Partes y piezas de maquinaria para la miner¡a y la construcci¢n;Partes y piezas de otras maquinarias y equipos;Aparatos de control el‚ctrico;Concentrado de molibdeno;Trigo y ma¡z;Az£car y endulzante;Cart¢n y papel elaborados, y otros;Fibra y tejido;;Camiones y veh¡culos de carga;Buses;Otros veh¡culos de transporte;Maquinaria para la miner¡a y la construcci¢n;Motores, generadores y transformadores el‚ctricos;Motores y turbinas;Bombas y compresores;Calderas de vapor;Otra maquinaria;Aparatos el‚ctronicos de comunicaci¢n;Equipos computacionales;Aparatos m‚dicos;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Agosto;1.412;550;199;43;71;80;41;407;189;76;456;73;59;15;24;19;41;54;2.983;1.084;414;347;83;84;5;81;1.900;255;109;276;49;274;24;20;20;33;51;67;944;201;35;63;74;22;20;39;1;174;43;45;49;5.339;4.974
;Septiembre;1.425;552;184;38;71;88;37;418;177;70;455;74;58;18;22;23;39;52;2.777;889;364;232;68;96;7;81;1.888;258;121;224;44;246;26;35;33;32;69;64;930;175;47;57;86;25;24;30;5;181;36;45;44;5.131;4.774
;Octubre;1.492;669;217;59;123;93;39;405;175;58;418;49;60;22;23;19;37;49;3.012;1.084;607;144;61;73;10;128;1.928;281;81;196;42;281;29;27;33;35;62;65;1.084;197;36;47;127;45;15;36;7;206;41;52;61;5.588;5.216
;Noviembre;1.500;673;302;51;103;65;32;372;155;59;455;76;57;16;46;17;39;45;2.891;945;383;244;67;94;6;100;1.946;259;49;168;41;284;25;27;46;27;54;57;1.124;199;53;95;90;22;24;41;4;209;42;53;64;5.516;5.168
;Diciembre;1.469;526;263;28;63;31;28;448;205;97;495;109;57;21;24;21;30;49;3.031;1.040;464;198;93;127;10;101;1.991;264;39;231;49;294;28;39;30;27;69;66;1.182;182;62;96;137;22;17;41;8;233;48;45;63;5.683;5.327
2011;Enero;1.293;509;249;41;78;19;36;388;193;88;397;51;62;12;12;13;39;41;2.874;1.058;535;157;80;122;15;109;1.816;288;42;222;47;252;27;39;25;37;49;54;988;170;36;64;106;19;12;32;11;200;42;48;63;5.155;4.831
;Febrero;1.349;477;197;60;64;37;48;428;237;73;443;52;62;14;34;23;40;46;2.907;1.136;421;321;69;110;16;106;1.770;248;60;153;37;258;23;38;39;44;51;60;1.056;131;31;186;162;21;16;28;1;168;40;59;52;5.311;4.997
;Marzo;1.502;595;270;65;66;31;64;371;216;55;536;73;74;16;50;17;49;53;3.850;1.532;691;380;87;168;8;122;2.318;333;79;261;47;345;32;43;27;58;59;56;1.211;199;37;66;108;39;24;45;71;205;55;61;76;6.563;6.177
;Abril;1.463;667;261;65;135;63;56;289;139;39;506;81;67;17;41;15;42;53;3.385;1.362;486;471;94;126;7;105;2.023;321;89;222;46;278;25;39;3;60;43;60;1.065;185;29;11;107;30;17;33;40;220;51;59;59;5.912;5.582
;Mayo;1.538;633;241;60;121;73;42;314;154;49;591;65;77;13;73;50;52;52;3.689;1.595;691;435;70;140;0;135;2.095;339;79;272;50;303;32;79;9;44;45;64;1.095;168;27;57;134;39;10;38;8;217;68;54;65;6.322;5.979
;Junio;1.470;576;229;62;72;75;39;398;196;69;495;62;67;15;23;40;42;49;3.615;1.474;571;337;143;183;6;129;2.141;313;98;246;49;288;27;78;17;47;43;72;1.098;202;31;0;139;53;18;42;20;221;57;62;61;6.182;5.908
;Julio;1.652;668;281;56;105;77;40;467;219;86;517;59;60;18;71;29;40;55;3.684;1.493;569;451;90;154;0;122;2.191;327;94;279;50;314;28;72;31;30;48;79;1.122;206;24;1;111;58;19;47;21;231;54;55;65;6.458;6.108
;Agosto;1.734;653;265;55;90;70;41;547;274;88;534;95;70;17;9;42;50;64;3.891;1.461;662;204;149;180;1;152;2.430;348;145;290;58;315;29;83;33;39;50;84;1.215;225;37;8;146;31;15;52;32;278;48;53;67;6.841;6.464
;Septiembre;1.788;661;267;40;86;75;44;512;242;82;615;87;73;18;105;32;43;60;3.672;1.316;540;303;103;140;8;125;2.356;361;129;243;55;302;33;69;70;42;52;72;1.285;243;53;110;151;38;17;38;3;237;48;46;62;6.745;6.357
;Octubre;1.636;674;205;60;147;90;46;425;189;64;538;83;68;18;22;15;98;46;3.237;1.082;325;326;98;96;0;148;2.155;313;93;205;56;323;26;38;48;26;56;69;1.240;190;43;194;139;25;14;37;6;234;47;54;53;6.114;5.771
;Noviembre;1.664;705;241;71;158;64;45;434;191;73;525;94;72;27;12;20;46;54;3.630;1.360;475;413;107;139;13;145;2.270;330;57;213;53;322;29;54;87;30;55;70;1.531;277;58;228;169;31;21;38;2;257;54;59;66;6.826;6.437
;Diciembre;1.532;539;246;29;83;42;34;431;215;86;562;80;68;25;73;16;40;52;3.444;1.227;530;310;88;62;6;125;2.217;324;50;219;59;337;30;49;67;28;51;63;1.446;241;93;119;161;96;14;39;3;244;55;53;65;6.422;6.053
2012;Enero;1.508;574;264;44;111;27;42;471;257;88;463;50;62;18;47;10;48;46;3.439;1.479;614;410;97;140;1;92;1.960;304;37;220;43;270;28;40;42;33;51;62;994;128;15;40;128;28;16;42;3;261;53;42;70;5.941;5.607
;Febrero;1.529;555;190;74;114;37;45;529;311;99;446;55;63;15;33;14;40;58;3.334;1.257;427;437;76;137;1;128;2.077;351;82;198;57;277;28;59;45;37;45;62;1.010;162;27;26;179;31;14;36;1;202;38;61;73;5.873;5.529
;Marzo;1.494;598;229;56;118;42;56;313;179;46;584;84;75;23;79;25;50;67;3.753;1.491;508;394;97;200;2;145;2.261;390;68;268;66;307;30;37;55;46;54;55;1.171;226;22;58;170;46;19;44;1;229;46;55;74;6.418;6.047
;Abril;1.485;614;206;59;135;52;61;318;168;38;553;80;71;20;104;13;44;59;3.539;1.422;478;441;92;154;5;127;2.117;342;53;250;57;312;31;49;21;41;48;68;1.067;193;24;37;147;46;18;41;0;209;50;54;72;6.092;5.730
;Mayo;1.751;774;278;66;166;86;61;405;194;55;573;81;76;18;51;23;55;67;4.010;1.696;639;540;102;210;4;112;2.314;395;90;265;56;307;35;46;31;46;51;84;1.226;252;38;31;181;43;24;45;0;221;49;57;67;6.987;6.580
;Junio;1.568;624;233;56;115;73;50;453;218;73;492;65;78;23;14;27;49;65;3.329;1.161;375;364;111;88;4;116;2.168;321;98;271;57;287;33;44;28;34;51;70;1.217;207;46;91;137;73;17;43;0;247;44;51;63;6.114;5.745
;Julio;1.624;638;229;65;122;70;40;473;223;95;513;67;79;15;38;24;49;65;3.576;1.252;520;341;73;124;2;128;2.324;356;92;282;66;314;31;37;52;36;50;72;1.475;194;87;293;165;54;13;49;4;231;49;59;70;6.674;6.277
;Agosto;1.872;734;270;56;120;101;52;539;255;103;599;92;83;18;61;26;53;77;3.739;1.197;407;323;125;167;4;82;2.541;355;155;395;71;333;36;37;60;31;52;72;1.935;249;108;598;161;47;17;52;1;273;69;58;70;7.545;7.107
;Septiembre;1.620;627;225;34;106;95;44;493;211;92;500;68;66;19;46;34;40;54;3.397;1.378;532;408;88;88;3;93;2.019;300;106;239;53;239;26;36;56;24;41;61;1.456;275;47;284;142;37;15;44;1;237;51;42;67;6.473;6.091
;Octubre;2.021;867;244;73;190;129;58;555;240;74;600;93;92;35;45;24;51;63;4.128;1.495;716;361;104;121;2;90;2.634;372;124;354;56;343;33;44;89;59;62;76;2.173;277;59;695;237;71;22;49;3;298;50;71;82;8.323;7.866
;Noviembre;1.631;667;253;65;118;59;47;407;170;69;557;95;72;29;27;37;47;55;3.324;1.152;470;381;68;85;3;85;2.172;322;77;214;52;279;27;27;65;46;52;58;1.642;275;71;354;146;62;10;38;1;257;52;58;68;6.597;6.222
;Diciembre;1.602;607;299;45;69;36;38;486;218;103;509;76;71;28;37;12;40;55;3.651;1.111;422;324;112;110;2;85;2.540;301;44;241;70;408;30;33;28;25;60;68;1.802;341;87;343;194;58;16;42;0;289;54;54;75;7.055;6.653
2013;Enero;1.747;673;297;51;127;48;41;525;256;121;550;74;74;28;50;29;53;53;3.875;1.500;671;405;93;132;2;81;2.375;356;80;225;70;344;31;35;62;71;56;68;1.424;222;49;131;178;42;18;47;0;308;60;62;73;7.047;6.643
;Febrero;1.615;639;248;79;130;41;46;482;255;94;494;72;70;22;32;37;51;57;3.316;1.260;684;271;93;41;1;66;2.056;330;76;228;52;276;30;20;52;30;39;62;1.204;179;42;158;137;44;17;38;1;218;45;67;65;6.136;5.786
;Marzo;1.700;641;258;72;123;39;50;462;261;76;597;77;75;22;81;35;58;68;3.152;1.069;294;355;89;119;0;78;2.083;354;55;224;62;274;31;31;51;45;48;54;1.213;197;37;108;177;31;19;43;1;234;44;64;65;6.065;5.696
;Abril;1.685;798;330;69;161;87;48;325;168;46;562;93;82;30;24;24;55;77;3.654;1.457;578;434;99;136;2;93;2.197;355;87;254;65;304;32;40;19;35;49;61;1.447;197;73;252;152;41;14;38;2;244;53;65;74;6.787;6.397
;Mayo;1.778;807;336;64;141;94;57;407;195;61;565;73;94;26;11;37;60;74;3.867;1.499;801;323;123;78;5;93;2.368;377;92;298;55;317;38;29;44;36;50;73;1.449;196;50;233;172;59;21;41;3;275;48;53;67;7.095;6.687
;Junio;1.647;703;308;53;120;72;46;462;226;83;483;65;69;19;13;17;57;65;3.251;1.175;447;432;95;74;1;77;2.076;317;85;253;55;316;35;26;37;24;48;66;1.224;180;59;130;93;57;24;40;4;260;44;50;68;6.122;5.771
;Julio;1.835;732;277;77;139;69;48;531;258;97;571;85;79;19;18;48;65;77;3.506;1.216;488;372;94;74;3;71;2.290;334;126;263;66;326;31;25;25;25;50;79;1.616;242;70;260;174;107;16;49;5;277;53;61;78;6.957;6.562
;Agosto;1.962;740;298;50;151;71;43;597;275;118;626;110;83;25;29;48;56;71;3.744;1.503;675;443;90;66;5;92;2.241;324;127;244;56;348;40;28;54;37;52;71;1.437;208;117;75;125;97;21;52;7;325;59;50;77;7.143;6.727
;Septiembre;1.779;691;248;37;152;72;48;551;256;88;537;78;72;25;37;25;54;65;3.195;1.189;439;412;69;113;0;71;2.006;284;92;215;46;283;29;24;77;21;45;62;1.208;192;31;55;188;79;6;41;4;242;47;43;71;6.182;5.824
;Octubre;2.169;996;296;92;289;105;59;594;256;92;579;78;88;33;28;26;64;78;3.653;1.153;534;316;89;50;0;83;2.499;348;96;324;56;322;36;23;89;40;70;70;1.288;234;38;25;108;96;13;48;6;271;65;71;75;7.110;6.695
;Noviembre;1.748;790;285;85;209;45;42;429;193;75;530;81;68;29;42;28;49;59;3.417;1.018;452;224;83;61;1;99;2.399;302;55;230;50;353;38;22;82;47;54;58;1.245;187;49;54;101;67;14;40;13;277;79;69;75;6.411;6.032
;Diciembre;1.752;558;258;33;69;30;41;591;286;117;603;108;83;37;32;43;55;64;3.423;1.183;572;319;70;57;0;68;2.240;293;43;278;48;322;29;50;44;22;61;73;1.126;121;59;67;77;90;10;49;6;250;47;50;76;6.300;5.934
2014;Enero;1.765;661;299;40;120;51;45;573;283;124;531;76;79;29;44;15;57;53;3.608;1.277;555;392;81;115;0;74;2.331;317;53;264;44;337;33;24;40;43;52;66;1.092;166;49;26;86;74;12;48;3;260;52;47;70;6.464;6.082
;Febrero;1.708;582;239;60;78;60;51;594;320;114;532;76;72;28;36;44;53;69;3.037;1.097;453;339;64;77;0;52;1.940;276;60;213;50;263;28;26;48;38;45;68;990;136;25;128;51;69;15;43;3;190;43;50;68;5.735;5.398
;Marzo;1.603;587;224;67;72;86;53;465;274;67;551;67;79;32;49;26;70;61;3.188;1.264;483;385;82;138;1;69;1.924;313;42;228;47;255;28;27;49;33;50;57;1.206;166;40;155;81;117;15;35;10;225;48;54;71;5.997;5.651
;Abril;1.581;719;340;48;98;85;49;337;172;44;525;83;81;30;12;23;67;67;3.538;1.489;817;364;92;90;0;64;2.050;331;82;264;46;290;35;21;16;29;42;50;1.077;182;22;36;72;62;18;39;11;241;50;52;73;6.196;5.832
;Mayo;1.623;652;292;46;91;75;54;420;201;59;551;77;85;32;21;36;66;60;3.122;1.080;339;339;91;144;3;83;2.041;318;94;248;41;279;33;31;26;37;45;71;1.043;137;28;152;47;60;16;32;7;223;41;52;62;5.788;5.441
;Junio;1.579;577;233;40;128;44;41;504;250;97;498;70;76;24;14;40;50;60;3.203;1.222;585;271;60;124;0;73;1.981;302;84;204;48;290;32;17;8;30;43;65;1.209;117;23;288;46;109;34;36;8;208;46;47;68;5.990;5.683
;Julio;1.652;589;217;43;132;44;46;532;261;90;531;77;87;27;2;41;70;65;3.703;1.385;714;331;115;84;1;57;2.317;343;102;271;49;314;31;43;73;28;51;75;1.094;119;28;147;69;76;14;48;16;240;47;49;69;6.449;6.083
;Agosto;1.651;574;222;41;101;58;45;535;253;90;541;98;83;25;17;37;48;67;3.250;1.169;473;393;71;87;0;64;2.081;309;106;242;42;287;27;63;39;25;48;72;1.084;120;37;103;52;132;14;36;27;246;48;44;61;5.985;5.643
;Septiembre;1.703;578;186;37;102;91;45;579;267;91;546;94;75;30;42;22;58;69;3.094;954;396;269;69;68;0;52;2.140;314;90;276;49;283;31;26;66;39;50;73;999;138;27;115;38;66;27;37;16;231;33;46;69;5.796;5.441
;Octubre;1.739;669;183;57;174;83;45;514;221;73;556;96;82;29;36;27;57;71;3.428;1.087;448;325;84;82;0;49;2.341;323;126;248;48;298;27;47;88;49;57;72;986;141;31;14;51;54;18;45;56;230;50;61;71;6.153;5.774
;Noviembre;1.560;628;183;54;187;52;38;421;180;69;511;82;71;30;53;26;54;52;2.846;793;354;191;54;62;0;51;2.054;297;63;302;41;276;24;25;73;27;55;68;1.264;160;41;238;68;93;24;33;52;217;58;54;65;5.670;5.337
;Diciembre;1.549;537;265;28;78;22;36;503;223;114;509;92;78;31;24;19;64;55;3.605;935;425;242;55;83;0;52;2.669;337;47;251;52;452;29;19;49;43;52;68;1.474;167;43;357;85;109;39;38;23;254;58;47;73;6.628;6.233
2015;Enero;1.456;533;208;34;121;42;42;491;252;96;433;66;70;25;29;17;49;46;3.043;678;236;205;69;43;0;43;2.366;318;45;283;44;342;35;24;73;36;50;61;894;108;19;5;60;58;17;42;11;222;54;62;67;5.394;5.049
;Febrero;1.432;499;163;45;120;27;51;501;266;99;432;74;65;28;36;6;49;52;2.432;625;208;206;44;104;0;32;1.806;287;80;211;40;245;25;9;38;38;40;68;947;144;18;56;61;55;24;36;40;176;56;84;74;4.811;4.508
;Marzo;1.620;583;190;45;145;49;58;527;302;81;510;81;82;33;24;19;68;60;2.916;904;314;321;84;74;0;41;2.011;306;70;291;49;276;26;18;28;33;49;65;960;133;24;27;54;51;52;39;33;197;67;63;74;5.495;5.144
;Abril;1.367;647;245;41;179;54;44;262;139;31;457;66;73;28;31;15;56;68;2.668;706;235;208;62;99;0;38;1.961;315;67;285;45;279;28;7;18;34;45;51;1.050;135;39;93;87;59;61;35;2;200;61;44;70;5.085;4.754
;Mayo;1.268;526;208;41;103;54;46;315;150;47;427;63;73;22;11;16;56;62;2.514;720;235;244;63;85;0;38;1.794;281;90;262;34;243;23;14;17;18;40;51;792;119;24;32;48;51;13;38;11;160;47;42;54;4.573;4.282
;Junio;1.358;515;190;54;110;40;43;378;191;70;465;82;83;16;0;27;65;60;2.831;894;365;239;73;104;1;40;1.937;310;80;236;52;302;30;11;8;22;43;58;866;98;24;13;54;70;14;40;11;191;58;67;71;5.054;4.744
;Julio;1.654;607;241;52;122;43;49;526;241;107;521;82;91;27;19;13;71;79;2.961;695;259;204;53;75;0;42;2.266;322;130;281;41;320;33;7;49;29;58;80;1.052;118;38;61;78;71;16;53;4;225;67;59;72;5.667;5.333
;Agosto;1.606;582;226;38;112;45;45;545;241;110;479;92;74;24;14;19;62;68;2.647;588;204;162;64;68;1;44;2.058;298;127;223;46;280;28;9;61;21;51;68;1.090;170;35;125;56;58;17;37;20;238;55;42;62;5.343;5.033
;Septiembre;1.552;532;180;43;83;70;42;541;251;79;479;88;78;24;18;15;66;61;2.628;544;222;133;69;42;0;33;2.084;277;111;273;48;302;40;7;58;23;50;71;1.173;116;42;197;59;73;32;40;24;218;72;57;69;5.353;5.049
;Octubre;1.739;745;225;61;211;84;44;507;236;70;486;69;79;30;42;17;56;63;2.622;560;166;204;49;41;0;37;2.062;324;75;232;45;307;33;7;60;37;63;65;1.112;132;40;112;61;93;9;38;15;237;69;60;68;5.472;5.152
;Noviembre;1.452;568;208;49;157;25;32;426;186;87;457;69;73;33;20;13;59;65;2.430;567;245;141;54;47;0;37;1.863;253;61;206;47;298;33;3;49;36;49;53;955;124;46;7;71;100;10;39;3;212;56;52;65;4.837;4.552
;Diciembre;1.498;539;234;25;105;45;36;478;234;95;481;79;83;36;22;14;70;45;2.509;560;186;184;66;18;0;36;1.949;267;45;222;43;291;38;7;50;33;62;63;1.405;110;37;428;44;76;19;43;1;244;83;49;77;5.413;5.118
2016;Enero;1.259;464;199;28;95;30;31;425;211;93;369;62;70;27;2;11;43;47;2.226;494;180;122;59;46;0;32;1.732;245;29;223;32;268;33;5;29;34;48;54;1.036;103;22;163;49;100;9;38;31;205;76;39;65;4.521;4.244
;Febrero;1.325;481;171;56;116;26;42;453;245;90;391;78;62;21;8;11;55;52;2.013;377;75;142;47;44;0;28;1.636;244;51;192;37;241;37;7;33;28;38;48;912;91;24;159;30;76;7;27;7;180;58;51;72;4.249;3.996
;Marzo;1.454;587;195;42;155;64;46;420;242;65;446;79;72;27;13;14;65;59;2.429;600;211;182;75;59;0;30;1.829;271;48;210;43;259;35;5;22;50;50;52;1.099;153;23;236;61;79;11;34;4;175;55;47;72;4.983;4.686
;Abril;1.235;568;195;39;149;66;44;276;131;38;391;75;65;20;0;14;55;53;2.220;487;167;125;69;59;0;28;1.732;266;45;187;39;260;45;7;11;20;43;47;1.070;123;22;174;50;146;12;32;5;189;71;44;60;4.525;4.259
;Mayo;1.407;606;228;47;146;59;44;363;179;60;438;72;79;19;1;19;65;67;2.386;569;225;160;54;60;0;31;1.817;272;50;195;39;278;41;5;42;20;47;58;996;120;32;145;34;113;16;32;11;167;64;47;64;4.789;4.513
;Junio;1.376;528;183;41;130;40;42;428;202;88;420;72;67;24;14;14;59;51;2.336;637;179;234;61;89;0;29;1.699;251;62;190;33;285;30;12;38;20;43;58;843;138;25;26;37;91;12;32;6;151;56;59;63;4.555;4.287
;Julio;1.512;590;214;47;146;52;45;488;234;102;434;81;70;22;3;23;57;61;2.491;603;177;174;63;99;0;28;1.888;244;89;190;35;285;50;10;42;19;43;109;971;114;36;38;38;159;16;38;5;191;65;50;64;4.974;4.681
;Agosto;1.657;608;252;44;111;58;37;529;249;101;520;111;85;29;16;18;59;73;2.736;629;249;129;64;88;0;33;2.107;286;96;228;34;292;39;17;86;49;47;68;1.114;130;24;163;41;106;17;37;18;212;78;47;67;5.506;5.181
;Septiembre;1.614;591;213;33;123;73;41;525;242;87;498;95;74;21;30;16;71;67;2.478;606;156;238;64;52;0;26;1.872;266;99;210;34;246;30;18;40;29;46;61;896;124;54;11;47;36;12;35;2;219;72;51;66;4.988;4.688
;Octubre;1.640;698;232;60;168;81;42;478;216;65;464;71;74;29;51;13;54;56;2.423;671;212;202;79;79;0;31;1.752;252;59;194;35;254;31;15;58;50;49;48;940;145;51;30;36;41;12;34;19;228;59;52;67;5.002;4.709
;Noviembre;1.672;704;242;55;215;48;37;462;214;89;506;98;84;31;36;16;53;61;2.338;532;163;135;93;48;0;33;1.806;250;42;211;37;275;30;11;42;51;53;50;1.114;161;35;45;70;87;30;33;13;229;97;51;72;5.124;4.826
;Diciembre;1.629;564;251;26;109;38;39;560;267;120;505;119;82;33;3;14;69;54;2.750;699;277;202;73;73;0;27;2.051;252;40;215;39;323;44;9;41;22;55;65;1.234;153;64;184;66;41;45;35;24;224;85;44;82;5.614;5.271
2017;Enero;1.532;582;232;35;145;37;43;485;237;107;465;90;81;23;25;14;60;58;2.520;686;256;211;70;55;0;39;1.834;275;36;214;39;277;33;8;52;32;46;56;1.102;263;40;22;52;50;19;36;21;216;79;53;64;5.154;4.860
;Febrero;1.509;578;227;60;117;50;47;480;257;93;451;86;82;33;10;15;62;59;2.368;697;258;173;97;84;0;39;1.671;264;48;170;28;237;37;4;44;29;42;48;863;138;26;23;54;40;19;32;6;197;55;58;61;4.739;4.473
;Marzo;1.798;760;331;45;165;63;58;477;275;71;562;86;97;35;57;18;77;68;2.725;803;247;225;83;113;0;58;1.923;277;47;248;44;288;30;13;33;33;45;57;1.051;178;44;16;64;59;10;35;21;222;69;50;69;5.574;5.258
;Abril;1.495;673;275;37;142;68;54;363;184;51;459;84;89;25;11;20;57;66;2.343;615;230;155;69;71;0;35;1.728;271;90;198;31;239;30;0;27;22;43;55;948;164;41;24;53;46;14;29;45;181;61;42;54;4.786;4.512
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(1) Se define como ""Durables"" aquellos bienes que pueden utilizarse para el consumo durante un per¡odo superior a un a¤o y tengan un valor relativamente alto, as¡ como los que pueden utilizarse durante tres a¤os o m s.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(2) Se define como ""Semidurables"" aquellos bienes que pueden utilizarse para el consumo por m s de un a¤o pero menos de tres, y que no tengan un valor relativamente alto.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"(3) Se ha efectuado una revisi¢n a la serie de  importaciones,  acotada a reclasificaciones entre ""Productos Energ‚ticos"" y ""Resto Intermedio"", que no afectan los totales, ni de la categor¡a de Bienes Intermedios, ni del total de importaciones.";tengan un valor relativamente alto, as¡ como los que pueden utilizarse durante tres a¤os o m s.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
