TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES AÑO 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
QANTAS AIRWAYS    ;78.472;57.638;66.706;60.302;44.036;0;0;0;0;0;0;0;307.156
PACIFICO SUR      ;78.472;57.638;66.706;60.302;44.036;0;0;0;0;0;0;0;307.156
TOTAL GENERAL;2.169.391;1.796.243;1.750.212;1.719.944;1.731.939;0;0;0;0;0;0;0;9.167.734
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES AÑO 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TOTALES (Llegados+Salidos) CON CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
AEROVIAS D.A.P.   ;797;813;145;240;165;0;0;0;0;0;0;0;2.161
CHILEJET S.A.     ;6.728;0;0;0;0;0;0;0;0;0;0;0;6.728
LATAM AIRLINES GROUP         ;1.569.312;1.419.487;1.477.189;1.346.062;1.393.248;0;0;0;0;0;0;0;7.205.303
LATAM AIRLINES CHILE       ;8.418;10.620;13.577;11.383;12.138;0;0;0;0;0;0;0;56.133
LATIN AMERICAN WINGS;20.978;28.338;28.291;29.892;31.065;0;0;0;0;0;0;0;138.563
ONE SPA           ;0;0;826;98;0;0;0;0;0;0;0;0;924
SKY AIRLINE       ;101.125;92.447;70.626;65.471;67.333;0;0;0;0;0;0;0;397.004
CHILENAS          ;1.707.358;1.551.705;1.590.654;1.453.146;1.503.949;0;0;0;0;0;0;0;7.806.816
AEROL. ARGENTINAS ;47.552;41.989;46.898;50.878;49.865;0;0;0;0;0;0;0;237.183
AUSTRAL           ;564;703;655;831;547;0;0;0;0;0;0;0;3.300
LATAM AIRLINES ARGENTINA     ;7.442;9.351;7.534;8.648;8.811;0;0;0;0;0;0;0;41.788
LATAM AIRLINES PERU          ;110.302;94.676;49.312;77.761;75.115;0;0;0;0;0;0;0;407.166
AMASZONAS S.A.    ;1.430;709;718;618;595;0;0;0;0;0;0;0;4.069
GOL TRANS         ;58.990;55.104;50.322;41.351;38.318;0;0;0;0;0;0;0;244.085
LATAM AIRLINES BRASIL;275.226;262.541;195.190;190.208;186.269;0;0;0;0;0;0;0;1.109.433
AMASZONAS PARAGUAY;1.167;1.157;1.397;1.134;1.822;0;0;0;0;0;0;0;6.678
LATAM AIRLINES PARAGUAY            ;5.253;4.953;5.101;6.225;6.319;0;0;0;0;0;0;0;27.852
LATAM AIRLINES ECUADOR       ;36.311;32.825;29.291;22.110;19.724;0;0;0;0;0;0;0;140.261
AVIANCA           ;123.121;107.683;108.426;101.775;118.203;0;0;0;0;0;0;0;559.207
L.A.C.S.A.        ;27.526;24.172;24.219;22.188;25.788;0;0;0;0;0;0;0;123.892
C.O.P.A.          ;233.979;210.310;182.729;182.138;200.873;0;0;0;0;0;0;0;1.010.030
AEROMEXICO        ;81.170;77.223;88.642;71.820;85.156;0;0;0;0;0;0;0;404.011
LATINOAMERICANAS  ;1.010.033;923.396;790.434;777.685;817.405;0;0;0;0;0;0;0;4.318.955
AIR CANADA        ;144.139;105.637;92.715;56.078;70.899;0;0;0;0;0;0;0;469.468
AMERICAN AIRLINES ;213.446;176.887;170.628;136.798;144.266;0;0;0;0;0;0;0;842.023
DELTA AIRLINES    ;89.872;81.688;86.113;71.937;76.221;0;0;0;0;0;0;0;405.831
UNITED AIRLINES   ;83.567;72.948;76.916;68.236;63.284;0;0;0;0;0;0;0;364.951
NORTEAMERICANAS   ;531.024;437.160;426.372;333.049;354.670;0;0;0;0;0;0;0;2.082.273
IBERIA            ;213.161;195.008;189.803;173.898;187.018;0;0;0;0;0;0;0;958.888
AIR FRANCE        ;259.267;234.061;241.783;211.107;213.696;0;0;0;0;0;0;0;1.159.915
ALITALIA          ;141.978;120.696;90.548;112.199;110.286;0;0;0;0;0;0;0;575.708
BRITISH AIRWAYS   ;70.895;70.219;75.425;56.932;63.058;0;0;0;0;0;0;0;336.529
K.L.M.            ;66.453;48.939;60.913;40.729;36.396;0;0;0;0;0;0;0;253.431
EUROPEAS          ;751.754;668.923;658.472;594.865;610.454;0;0;0;0;0;0;0;3.284.471
QANTAS AIRWAYS    ;153.340;118.949;133.130;119.958;88.073;0;0;0;0;0;0;0;613.450
PACIFICO SUR      ;153.340;118.949;133.130;119.958;88.073;0;0;0;0;0;0;0;613.450
TOTAL GENERAL;4.153.509;3.700.133;3.599.062;3.278.703;3.374.551;0;0;0;0;0;0;0;18.105.965
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES AÑO 2017;;;;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) LLEGADAS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LATAM CARGO            ;3.571;4.505;7.320;7.573;7.760;0;0;0;0;0;0;0;30.730
LATAM AIRLINES GROUP         ;18.700;17.129;20.775;20.598;22.017;0;0;0;0;0;0;0;99.217
LATAM AIRLINES CHILE       ;37;50;172;242;87;0;0;0;0;0;0;0;587
SKY AIRLINE       ;28;29;23;42;51;0;0;0;0;0;0;0;172
CHILENAS          ;22.336;21.713;28.290;28.455;29.915;0;0;0;0;0;0;0;130.706
AEROL. ARGENTINAS ;19;26;23;23;32;0;0;0;0;0;0;0;124
LATAM AIRLINES PERU          ;85;78;22;106;56;0;0;0;0;0;0;0;348
LATAM CARGO BRASIL;624;612;888;853;1.045;0;0;0;0;0;0;0;4.021
GOL TRANS         ;71;139;123;126;121;0;0;0;0;0;0;0;580
OCEANAIR LINHAS AEREAS;2.747;1.925;2.254;2.344;2.443;0;0;0;0;0;0;0;11.713
LATAM AIRLINES BRASIL;768;986;794;442;865;0;0;0;0;0;0;0;3.853
LATAM AIRLINES PARAGUAY            ;15;16;10;5;25;0;0;0;0;0;0;0;70
LATAM AIRLINES ECUADOR       ;22;27;18;9;28;0;0;0;0;0;0;0;104
AVIANCA           ;932;1.187;1.042;1.364;1.142;0;0;0;0;0;0;0;5.666
