TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
TOTAL;INTERNACIONAL DE;TACA-PERU         ;0;32.398;9.500;43.558;41.521;51.143;67.832;63.507;786;0
AMASZONAS S.A.    ;DE IQUIQUE;A LA PAZ          ;0;0;0;0;0;0;0;0;0;5
 ; ;A ORURO   BOL.    ;0;0;0;0;0;0;0;0;0;401
 ; ;A SANTA CRUZ, BOL.;0;0;0;0;0;0;0;0;0;956
 ;DE LA SERENA;A SANTA CRUZ, BOL.;0;0;0;0;0;0;0;0;0;41
TOTAL;INTERNACIONAL DE;AMASZONAS S.A.    ;0;0;0;0;0;0;0;0;0;1.403
LLOYD A. BOLIVIANO;DE SANTIAGO;A BUENOS AIRES    ;0;168;0;0;0;0;0;0;0;0
 ; ;A CORDOBA         ;0;822;222;0;0;0;0;0;0;0
 ; ;A COCHABAMBA      ;0;128;43;0;0;0;0;0;0;0
 ; ;A LA PAZ          ;0;374;0;0;0;0;0;0;0;0
 ; ;A SANTA CRUZ, BOL.;14.604;6.254;2.050;0;0;0;0;0;0;0
 ;DE ARICA;A TARIJA, BOL.    ;141;0;0;0;0;0;0;0;0;0
 ;DE IQUIQUE;A TARIJA, BOL.    ;0;149;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LLOYD A. BOLIVIANO;14.745;7.895;2.315;0;0;0;0;0;0;0
GOL TRANS         ;DE SANTIAGO;A BUENOS AIRES    ;0;17.672;68.350;39.377;21.614;19.304;17.239;16.672;0;0
 ; ;A CORDOBA         ;0;0;154;0;0;0;23;0;0;0
 ; ;A LIMA            ;0;0;14.575;13.009;5.075;0;0;0;0;0
 ; ;A SANTA CRUZ, BOL.;0;0;0;4;2;0;0;0;0;0
 ; ;A BELO HORIZONTE  ;0;1;156;4;480;569;1.547;1.486;0;258
 ; ;A BRASILIA        ;0;0;0;122;549;949;1.844;1.844;0;0
 ; ;A CAMPO GRANDE BRA;0;0;0;0;3;0;0;0;0;0
 ; ;A CORUMBA, BRA.   ;0;0;0;0;6;0;0;0;0;0
 ; ;A CURITIBA        ;0;0;0;45;453;803;1.524;847;0;0
 ; ;A FLORIANAPOLIS   ;0;745;2.141;2.749;586;1.574;1.685;1.289;0;0
 ; ;A FORTALEZA       ;0;0;0;39;222;234;537;473;0;0
 ; ;A IGUASSU, BRASIL ;0;0;0;0;1;0;0;0;0;0
 ; ;A MACEIO, BRASIL  ;0;0;0;2;8;2;0;0;0;0
 ; ;A MANAUS, BRASIL  ;0;0;0;0;21;13;8;9;0;0
 ; ;A NATAL  BRASIL   ;0;0;0;0;14;12;75;13;0;0
 ; ;A NAVEGANTES BRA. ;0;0;3;0;0;0;0;0;0;0
 ; ;A PORTO ALEGRE    ;0;727;3.966;6.709;7.361;1.357;8.071;16.367;0;0
 ; ;A PORTO SEGURO    ;0;0;0;3;16;1;0;0;0;0
 ; ;A RECIFE          ;0;0;0;47;454;706;1.176;1.207;0;0
 ; ;A RIO DE JANEIRO  ;0;1.524;7.207;847;3.970;6.319;10.002;5.492;1.052;525
 ; ;A SALVADOR BAHIA  ;0;0;0;103;807;1.129;2.004;1.352;0;0
 ; ;A SAO PAULO       ;0;4.444;47.072;11.492;7.728;11.268;15.511;11.938;5;44.975
 ; ;A VITORIA, BRA.   ;0;0;0;24;354;501;1.024;358;0;0
 ; ;A ASUNCION        ;0;0;0;51;45;41;98;127;0;0
 ; ;A MONTEVIDEO      ;0;0;0;17;2;0;0;0;0;0
TOTAL;INTERNACIONAL DE;GOL TRANS         ;0;25.113;143.624;74.644;49.771;44.782;62.368;59.474;1.057;45.758
T.A.M. LINEAS AEREAS;DE SANTIAGO;A BRASILIA        ;0;0;112;0;0;0;0;0;0;0
 ; ;A FLORIANAPOLIS   ;0;519;0;0;0;0;0;0;0;252
 ; ;A PORTO ALEGRE    ;0;0;0;0;0;0;0;299;0;0
 ; ;A RIO DE JANEIRO  ;4.260;5.715;10.149;4.401;10.151;10.113;9.068;12.925;38.776;16.164
 ; ;A SAO PAULO       ;29.190;47.737;64.596;64.436;105.852;131.979;142.513;155.092;226.214;210.160
 ; ;A ASUNCION        ;37;0;0;0;0;0;359;0;0;0
TOTAL;INTERNACIONAL DE;T.A.M. LINEAS AEREAS;33.487;53.971;74.857;68.837;116.003;142.092;151.940;168.316;264.990;226.576
VARIG             ;DE SANTIAGO;A BUENOS AIRES    ;0;59;0;0;0;0;0;0;0;0
 ; ;A LIMA            ;139;0;0;0;0;0;0;0;0;0
 ; ;A IGUASSU, BRASIL ;0;160;0;0;0;0;0;0;0;0
 ; ;A PORTO ALEGRE    ;0;321;0;0;0;0;0;0;0;0
 ; ;A RIO DE JANEIRO  ;16.679;6.058;0;0;0;0;0;0;0;0
 ; ;A SALVADOR BAHIA  ;2.866;0;0;0;0;0;0;0;0;0
 ; ;A SAO PAULO       ;84.746;41.360;0;0;0;0;0;0;0;0
 ; ;A GUAYAQUIL       ;55;0;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;VARIG             ;104.485;47.958;0;0;0;0;0;0;0;0
VRG LINHAS AEREAS ;DE SANTIAGO;A BELO HORIZONTE  ;0;0;0;0;11;0;0;0;0;0
 ; ;A BRASILIA        ;0;0;0;0;3;0;0;0;0;0
 ; ;A CURITIBA        ;0;0;0;0;13;0;0;0;0;0
 ; ;A FLORIANAPOLIS   ;0;0;0;0;15;0;0;0;0;0
 ; ;A MANAUS, BRASIL  ;0;0;0;0;3;0;0;0;0;0
 ; ;A PORTO ALEGRE    ;0;0;0;0;7;0;0;0;0;0
 ; ;A RECIFE          ;0;0;0;0;2;0;0;0;0;0
 ; ;A RIO DE JANEIRO  ;0;0;0;4.099;2.014;0;0;0;0;0
 ; ;A SALVADOR BAHIA  ;0;0;0;0;11;0;0;0;0;0
 ; ;A SAO PAULO       ;0;0;380;34.729;9.531;0;0;0;0;0
TOTAL;INTERNACIONAL DE;VRG LINHAS AEREAS ;0;0;380;38.828;11.610;0;0;0;0;0
T.A.M.            ;DE SANTIAGO;A FLORIANAPOLIS   ;0;909;0;0;0;0;0;0;0;0
 ; ;A NAVEGANTES BRA. ;384;728;0;0;0;0;0;0;0;0
 ; ;A RIO DE JANEIRO  ;11;152;96;71;0;0;0;0;0;0
 ; ;A SAO PAULO       ;1.605;2.505;2.127;1.388;265;0;0;0;0;0
 ; ;A ASUNCION        ;16.816;17.774;14.641;13.508;11.212;13.066;17.090;19.035;16.737;22.127
 ; ;A CIUDAD DEL ESTE ;0;462;0;1.568;0;0;0;0;0;0
 ;DE IQUIQUE;A ASUNCION        ;98;304;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;T.A.M.            ;18.914;22.834;16.864;16.535;11.477;13.066;17.090;19.035;16.737;22.127
BQB LINEAS AEREAS ;DE SANTIAGO;A MONTEVIDEO      ;0;0;0;0;0;0;0;0;628;7.147
TOTAL;INTERNACIONAL DE;BQB LINEAS AEREAS ;0;0;0;0;0;0;0;0;628;7.147
PLUNA             ;DE SANTIAGO;A FLORIANAPOLIS   ;2.774;5.123;4.642;0;0;554;686;0;0;0
 ; ;A IGUASSU, BRASIL ;0;0;0;0;0;0;84;0;0;0
 ; ;A RIO DE JANEIRO  ;0;0;1.454;0;0;0;0;0;0;0
 ; ;A SALVADOR BAHIA  ;1.056;1.421;1.180;0;0;0;0;0;0;0
 ; ;A SAO PAULO       ;0;0;352;0;0;0;0;0;0;0
 ; ;A ASUNCION        ;0;0;0;0;1.730;1.458;0;0;0;0
 ; ;A MONTEVIDEO      ;13.205;15.263;11.764;17.427;36.894;47.380;70.250;43.515;0;0
 ; ;A PTA. DEL ESTE   ;2.509;2.222;2.308;2.446;358;1.337;193;0;0;0
 ; ;A PORLAMAR, VEZ.  ;1.043;0;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;PLUNA             ;20.587;24.029;21.700;19.873;38.982;50.729;71.213;43.515;0;0
LAN ECUADOR       ;DE SANTIAGO;A BUENOS AIRES    ;0;7.708;26.417;34.729;41.531;43.128;22.450;3.976;9.334;11.384
 ; ;A GUAYAQUIL       ;0;4.209;11.168;17.516;22.756;24.781;30.170;42.745;38.887;21.937
 ; ;A QUITO           ;0;8.789;19.145;23.146;22.690;23.405;19.274;5.122;5.762;19.368
 ;DE IQUIQUE;A GUAYAQUIL       ;0;0;0;0;0;0;0;120;0;0
TOTAL;INTERNACIONAL DE;LAN ECUADOR       ;0;20.706;56.730;75.391;86.977;91.314;71.894;51.963;53.983;52.689
T.A.M.E.          ;DE SANTIAGO;A GUAYAQUIL       ;0;0;0;0;0;0;0;0;157;0
 ; ;A QUITO           ;0;0;0;0;0;0;405;0;0;0
 ;DE IQUIQUE;A GUAYAQUIL       ;0;0;0;0;0;0;0;0;53;0
TOTAL;INTERNACIONAL DE;T.A.M.E.          ;0;0;0;0;0;0;405;0;210;0
AVIANCA           ;DE SANTIAGO;A BUENOS AIRES    ;209;0;0;0;0;0;0;0;0;0
 ; ;A LIMA            ;12;0;0;0;0;0;0;0;0;0
 ; ;A SAO PAULO       ;2;0;0;0;0;0;0;0;0;0
 ; ;A GUAYAQUIL       ;90;0;0;0;0;0;0;0;0;0
 ; ;A QUITO           ;657;1.425;1.380;1.572;935;1.155;5.428;10.100;8.710;10.599
 ; ;A ARMENIA         ;86;0;0;0;0;0;0;0;0;0
 ; ;A BARRANCABERMEJA ;2;0;0;0;0;0;0;0;0;0
 ; ;A BARRANQUILLA    ;266;0;0;0;0;0;0;0;0;0
 ; ;A BOGOTA          ;8.378;16.729;22.399;25.377;25.089;28.439;28.907;46.980;55.242;46.107
 ; ;A BUCARAMANGA     ;120;0;0;0;0;0;0;0;0;0
 ; ;A CALI            ;739;0;0;0;0;0;0;0;0;0
 ; ;A CARTAGENA, COL. ;1.969;0;0;0;0;0;0;0;0;0
 ; ;A CUCUTA COL.     ;27;0;0;0;0;0;0;0;0;0
 ; ;A MANIZALEZ       ;72;0;0;0;0;0;0;0;0;0
 ; ;A MEDELLIN        ;901;0;0;0;0;0;0;0;0;0
 ; ;A MONTERIA        ;7;0;0;0;0;0;0;0;0;0
 ; ;A PASO  COL.      ;15;0;0;0;0;0;0;0;0;0
 ; ;A PEREIRA         ;67;0;0;0;0;0;0;0;0;0
 ; ;A POPAYAN         ;2;0;0;0;0;0;0;0;0;0
 ; ;A SAN ANDRES      ;112;0;0;0;0;0;0;0;0;0
 ; ;A SANTA MARTA     ;89;0;0;0;0;0;0;0;0;0
 ; ;A VALLEDUPAR      ;3;0;0;0;0;0;0;0;0;0
 ; ;A CARACAS         ;545;0;0;0;0;0;0;0;0;0
 ; ;A CURACAO, A.H.   ;27;0;0;0;0;0;0;0;0;0
 ; ;A C.DE PANAMA     ;606;1.283;1.373;3.611;4.647;6.185;6.869;6.430;7.021;9.395
 ; ;A ARUBA           ;218;0;0;0;0;0;0;0;0;0
 ; ;A C. DE MEXICO    ;226;0;0;0;0;0;0;0;0;0
 ; ;A MIAMI           ;172;0;0;0;0;0;0;0;0;0
 ; ;A NUEVA YORK      ;304;742;2.171;3.679;2.164;2.788;2.330;2.265;2.947;5.252
 ; ;A MADRID          ;1.741;183;56;298;739;1.292;1.177;1.129;1.890;4.265
TOTAL;INTERNACIONAL DE;AVIANCA           ;17.664;20.362;27.379;34.537;33.574;39.859;44.711;66.904;75.810;75.618
LAN COLOMBIA      ;DE SANTIAGO;A BOGOTA          ;0;0;0;0;0;0;0;0;12.382;46.936
TOTAL;INTERNACIONAL DE;LAN COLOMBIA      ;0;0;0;0;0;0;0;0;12.382;46.936
L.A.C.S.A.        ;DE SANTIAGO;A LIMA            ;13.240;1.705;8.627;1.323;1.315;1.978;3.027;1.908;13.112;5.000
 ; ;A LA PAZ          ;3;0;0;0;0;0;0;0;0;0
 ; ;A SANTA CRUZ, BOL.;4;0;0;0;0;0;0;0;0;0
 ; ;A SAO PAULO       ;20;0;0;0;0;0;0;0;0;0
 ; ;A GUAYAQUIL       ;2.117;336;2.283;0;0;0;0;0;3.360;9.853
 ; ;A QUITO           ;2.844;199;3.117;0;0;0;0;0;3.894;11.120
 ; ;A BOGOTA          ;3.432;286;2.443;0;0;0;0;0;4.677;2.074
 ; ;A CALI            ;0;0;0;0;0;0;0;0;2.228;0
 ; ;A MEDELLIN        ;0;0;0;0;0;0;0;0;1.419;0
 ; ;A CARACAS         ;4.617;245;2.286;0;0;0;0;0;3.567;311
 ; ;A SAN JOSE, C.R.  ;6.822;800;10.102;0;0;0;0;0;4.399;11.166
 ; ;A LA HAVANA       ;189;0;547;0;0;0;0;0;5.344;9.071
 ; ;A SAN SALVADOR    ;217;0;0;0;0;0;0;0;0;0
 ; ;A C. DE GUATEMALA ;336;0;0;0;0;0;0;0;0;0
 ; ;A SAN PEDRO SULA  ;35;0;0;0;0;0;0;0;0;0
 ; ;A TEGUCIGALPA     ;35;0;0;0;0;0;0;0;0;0
 ; ;A MANAGUA         ;56;0;0;0;0;0;0;0;0;0
 ; ;A C.DE PANAMA     ;11;0;0;0;0;0;0;0;0;0
 ; ;A PUNTA CANA, R.D.;0;0;0;0;0;0;0;0;0;7.216
 ; ;A SANTO DOMINGO   ;0;0;2.119;0;0;0;0;0;5.245;525
 ; ;A C. DE MEXICO    ;675;102;1.349;0;0;0;0;0;3.918;442
 ; ;A BOSTON          ;12;0;0;0;0;0;0;0;0;0
 ; ;A CHICAGO         ;7;0;0;0;0;0;0;0;0;0
 ; ;A LOS ANGELES     ;659;104;918;0;0;0;0;0;78;0
 ; ;A MIAMI           ;759;123;756;0;0;0;0;0;6.230;9.096
 ; ;A NUEVA YORK      ;861;156;1.027;0;0;0;0;0;54;5.700
 ; ;A ORLANDO, US.    ;10;0;0;0;0;0;0;0;0;0
 ; ;A SAN FRANCISCO US;264;0;0;0;0;0;0;0;0;0
 ; ;A WASHINGTON, US. ;34;0;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;L.A.C.S.A.        ;37.259;4.056;35.574;1.323;1.315;1.978;3.027;1.908;57.525;71.574
CUBANA DE AVIACION;DE SANTIAGO;A CARACAS         ;0;0;0;75;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;CUBANA DE AVIACION;0;0;0;75;0;0;0;0;0;0
C.O.P.A.          ;DE SANTIAGO;A BUENOS AIRES    ;0;0;0;0;0;0;114;0;0;0
 ; ;A CORDOBA         ;0;0;0;2;0;0;0;135;0;0
 ; ;A LIMA            ;0;121;0;137;113;0;0;157;0;789
 ; ;A SANTA CRUZ, BOL.;0;0;0;0;0;0;0;0;0;274
 ; ;A RIO DE JANEIRO  ;0;0;0;72;0;0;0;0;0;0
 ; ;A SAO PAULO       ;0;0;50;25;0;0;0;0;0;0
 ; ;A MONTEVIDEO      ;0;0;0;1;0;0;0;0;0;0
 ; ;A GUAYAQUIL       ;85;0;0;116;0;0;0;0;0;262
 ; ;A QUITO           ;0;0;0;84;14;0;0;0;0;0
 ; ;A BARRANQUILLA    ;0;0;0;34;3;0;0;0;0;0
 ; ;A BOGOTA          ;0;0;0;123;33;9;0;0;0;0
 ; ;A CALI            ;0;0;0;38;21;3;0;0;0;0
 ; ;A CARTAGENA, COL. ;0;0;0;104;8;0;0;0;0;0
 ; ;A MEDELLIN        ;0;0;0;46;159;0;0;0;0;0
 ; ;A CARACAS         ;0;0;0;32;7;8;0;0;0;0
 ; ;A MARACAIBO, VEZ. ;0;0;0;112;23;10;0;0;0;0
 ; ;A SAN JOSE, C.R.  ;0;2.093;830;1.533;1.353;356;0;0;0;0
 ; ;A LA HAVANA       ;5.242;7.478;6.651;6.247;6.058;2.263;0;0;0;0
 ; ;A SAN SALVADOR    ;0;0;0;94;58;12;0;0;0;0
 ; ;A C. DE GUATEMALA ;0;0;0;125;139;31;0;0;0;0
 ; ;A PTO. PRINCIPE   ;0;0;0;120;58;5;0;0;0;0
 ; ;A SAN PEDRO SULA  ;0;0;0;5;0;0;0;0;0;0
 ; ;A TEGUCIGALPA     ;0;0;0;370;6;12;0;0;0;0
 ; ;A KINGSTON        ;0;0;0;46;43;0;0;0;0;0
 ; ;A MANAGUA         ;0;0;0;123;40;4;0;0;0;0
 ; ;A C.DE PANAMA     ;36.365;48.782;57.918;47.960;47.416;73.995;111.572;144.889;185.807;194.234
 ; ;A SAN JUAN, P.R.  ;0;0;0;688;638;94;0;0;0;0
 ; ;A PUNTA CANA, R.D.;0;0;0;1.406;3.742;328;0;0;0;0
 ; ;A SANTIAGO R.DOM. ;0;0;0;150;401;29;0;0;0;0
 ; ;A SANTO DOMINGO   ;0;0;0;5.220;4.152;1.091;0;0;0;0
 ; ;A C. DE MEXICO    ;0;0;0;572;229;179;0;0;0;0
 ; ;A CANCUN, MEX.    ;0;0;0;4.089;4.426;1.140;0;0;0;0
 ; ;A GUADALAJARA     ;0;0;0;83;6;0;0;0;0;0
 ; ;A TOLUCA          ;107;0;0;0;0;0;0;0;0;0
 ; ;A LOS ANGELES     ;0;0;0;332;453;181;0;0;0;0
 ; ;A MIAMI           ;0;0;0;54;10;150;0;0;0;0
 ; ;A NUEVA YORK      ;0;0;0;76;51;88;0;0;0;0
 ; ;A ORLANDO, US.    ;0;0;0;191;100;29;0;0;0;0
 ; ;A WASHINGTON, US. ;0;0;0;63;4;48;0;0;0;0
TOTAL;INTERNACIONAL DE;C.O.P.A.          ;41.799;58.474;65.449;70.473;69.764;80.065;111.686;145.181;185.807;195.559
AEROMEXICO        ;DE SANTIAGO;A LIMA            ;70;0;313;0;0;0;0;72;0;0
 ; ;A C. DE MEXICO    ;18.368;19.278;20.520;15.745;16.673;15.397;18.911;23.841;14.166;25.666
 ; ;A CANCUN, MEX.    ;0;0;0;1.538;784;0;0;0;0;0
TOTAL;INTERNACIONAL DE;AEROMEXICO        ;18.438;19.278;20.833;17.283;17.457;15.397;18.911;23.913;14.166;25.666
TOTALES;LINEAS AEREAS;LATINOAMERICANAS  ;460.019;443.515;654.614;637.911;696.187;787.386;870.308;916.446;971.526;1.061.320
AIR CANADA        ;DE SANTIAGO;A BUENOS AIRES    ;15.220;16.457;15.376;26.833;13.701;23.579;24.556;30.018;30.086;26.190
 ; ;A TORONTO         ;18.527;19.542;22.943;30.394;29.432;30.028;33.952;40.255;35.082;32.334
 ; ;A MIAMI           ;0;0;0;0;0;0;0;0;0;241
TOTAL;INTERNACIONAL DE;AIR CANADA        ;33.747;35.999;38.319;57.227;43.133;53.607;58.508;70.273;65.168;58.765
AMERICAN AIRLINES ;DE SANTIAGO;A DALLAS, US.     ;47.055;50.501;52.321;50.336;49.081;48.933;48.270;53.509;53.715;52.916
 ; ;A LOS ANGELES     ;0;0;0;0;61;0;0;0;0;0
 ; ;A MIAMI           ;47.904;54.269;55.837;54.613;48.853;46.530;51.013;53.389;57.933;57.093
TOTAL;INTERNACIONAL DE;AMERICAN AIRLINES ;94.959;104.770;108.158;104.949;97.995;95.463;99.283;106.898;111.648;110.009
DELTA AIRLINES    ;DE SANTIAGO;A BUENOS AIRES    ;0;0;0;0;0;0;0;0;188;0
 ; ;A SAN SALVADOR    ;0;0;0;0;0;0;101;0;0;0
 ; ;A ATLANTA         ;43.984;57.320;53.257;53.691;48.386;51.264;55.764;57.099;60.871;63.880
 ; ;A DALLAS, US.     ;0;0;227;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;DELTA AIRLINES    ;43.984;57.320;53.484;53.691;48.386;51.264;55.865;57.099;61.059;63.880
UNITED AIRLINES   ;DE SANTIAGO;A HOUSTON         ;0;0;0;0;0;0;0;0;0;3.719
TOTAL;INTERNACIONAL DE;UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;3.719
TOTALES;LINEAS AEREAS;NORTEAMERICANAS   ;172.690;198.089;199.961;215.867;189.514;200.334;213.656;234.270;237.875;236.373
LUFTHANSA         ;DE SANTIAGO;A BUENOS AIRES    ;3.282;0;0;0;0;0;0;0;0;0
 ; ;A BRASILIA        ;13;35;0;0;0;0;0;0;0;0
 ; ;A SAO PAULO       ;7.813;5.013;0;0;0;0;0;0;0;0
 ; ;A FRANKFURT       ;49.710;17.198;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LUFTHANSA         ;60.818;22.246;0;0;0;0;0;0;0;0
AIR COMET         ;DE SANTIAGO;A MADRID          ;0;0;23.078;17.633;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;AIR COMET         ;0;0;23.078;17.633;0;0;0;0;0;0
AIR EUROPA        ;DE SANTIAGO;A SALVADOR BAHIA  ;0;0;0;0;0;0;0;0;0;8.751
 ; ;A MADRID          ;0;0;0;0;0;0;0;0;0;265
TOTAL;INTERNACIONAL DE;AIR EUROPA        ;0;0;0;0;0;0;0;0;0;9.016
AIR MADRID        ;DE SANTIAGO;A BUENOS AIRES    ;0;200;0;0;0;0;0;0;0;0
 ; ;A FORTALEZA       ;0;7.828;0;0;0;0;0;0;0;0
 ; ;A BARCELONA ESP.  ;49;156;0;0;0;0;0;0;0;0
 ; ;A MADRID          ;12.711;28.391;0;0;0;0;0;0;0;0
 ; ;A TENERIFE        ;1.456;3.095;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;AIR MADRID        ;14.216;39.670;0;0;0;0;0;0;0;0
IBERIA            ;DE SANTIAGO;A BARCELONA ESP.  ;8.832;8.020;8.589;5.546;3.898;4.470;4.493;4.279;1.507;0
 ; ;A MADRID          ;54.850;71.180;76.923;78.436;83.815;80.480;86.978;85.098;96.436;103.308
TOTAL;INTERNACIONAL DE;IBERIA            ;63.682;79.200;85.512;83.982;87.713;84.950;91.471;89.377;97.943;103.308
AIR FRANCE        ;DE SANTIAGO;A BUENOS AIRES    ;22.455;27.537;2.872;0;0;0;0;0;0;0
 ; ;A PARIS           ;31.406;40.754;55.170;66.514;64.325;66.915;85.796;103.679;108.594;102.833
TOTAL;INTERNACIONAL DE;AIR FRANCE        ;53.861;68.291;58.042;66.514;64.325;66.915;85.796;103.679;108.594;102.833
SWISSAIR          ;DE SANTIAGO;A SAO PAULO       ;0;20.546;28.556;35.792;7.276;0;0;0;0;0
 ; ;A ZURICH          ;0;4.290;16.644;22.498;6.906;0;0;0;0;0
TOTAL;INTERNACIONAL DE;SWISSAIR          ;0;24.836;45.200;58.290;14.182;0;0;0;0;0
K.L.M.            ;DE SANTIAGO;A BUENOS AIRES    ;0;0;0;0;0;0;0;0;0;11.693
 ; ;A AMSTERDAM       ;0;0;0;0;0;0;0;0;0;18.076
TOTAL;INTERNACIONAL DE;K.L.M.            ;0;0;0;0;0;0;0;0;0;29.769
TOTALES;LINEAS AEREAS;EUROPEAS          ;192.577;234.243;211.832;226.419;166.220;151.865;177.267;193.056;206.537;244.926
QANTAS AIRWAYS    ;DE SANTIAGO;A RIO DE JANEIRO  ;0;0;0;0;0;0;0;0;0;397
 ; ;A SYDNEY          ;0;0;0;0;0;0;0;454;0;0
 ; ;A MELBOURNE       ;0;0;0;0;0;0;0;0;300;0
 ; ;A SYDNEY          ;0;0;0;0;0;0;0;18.221;48.943;47.623
TOTAL;INTERNACIONAL DE;QANTAS AIRWAYS    ;0;0;0;0;0;0;0;18.675;49.243;48.020
TOTALES;LINEAS AEREAS;PACIFICO SUR      ;0;0;0;0;0;0;0;18.675;49.243;48.020
TOTAL;GENERAL;DE DATOS;1.977.557;2.083.470;2.414.383;2.427.529;2.296.584;2.514.729;2.963.834;3.387.812;3.439.253;3.658.400
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS TOTALES (Llegados+Salidos) CON CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;CIUDAD;CIUDAD;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;SANTIAGO CON;BUENOS AIRES    ;0;0;0;0;0;0;639;142;0;0
 ; ;CORDOBA         ;0;0;0;0;0;1.320;0;0;0;0
 ; ;MENDOZA         ;0;0;0;48;0;0;3.920;0;102;0
 ; ;SAN JUAN, ARG.  ;0;0;0;0;0;0;1.862;0;0;0
 ; ;USHUAIA, ARG.   ;0;0;0;917;0;0;0;0;0;0
 ; ;LIMA            ;0;0;0;0;0;176;0;0;0;0
 ; ;CUIABA, BRASIL  ;0;0;0;0;0;0;0;0;0;138
 ; ;CURITIBA        ;0;0;0;182;0;0;0;0;0;535
 ; ;FLORIANAPOLIS   ;0;0;0;20.499;3.046;14.700;10.157;5.889;7.270;5.074
 ; ;IGUASSU, BRASIL ;0;0;0;2.664;1.158;1.359;1.303;1.491;1.302;1.283
 ; ;MACEIO, BRASIL  ;0;0;0;1.210;0;1.984;0;0;0;0
 ; ;PORTO ALEGRE    ;0;0;0;0;0;0;0;0;0;280
 ; ;PORTO SEGURO    ;0;0;0;758;0;0;0;0;0;0
 ; ;RECIFE          ;0;0;0;2;0;0;0;0;0;0
 ; ;RIO DE JANEIRO  ;0;0;0;3.808;0;0;0;284;278;1.882
 ; ;SALVADOR BAHIA  ;0;0;0;3.344;0;0;0;0;0;0
 ; ;SAO PAULO       ;0;0;0;0;0;0;0;0;1;933
 ; ;ASUNCION        ;0;0;0;0;737;0;94;533;497;0
 ; ;MONTEVIDEO      ;0;0;0;0;0;4;476;122;0;281
 ; ;PTA. DEL ESTE   ;0;0;0;0;0;1.240;0;0;0;0
 ; ;GUAYAQUIL       ;0;0;0;9.727;0;0;0;0;0;0
 ; ;MANTA           ;0;0;0;128;0;0;0;0;0;0
 ; ;CALI            ;0;0;0;0;0;0;0;0;0;97
 ; ;MOUNT PLEASANT  ;0;0;0;0;0;0;0;110;0;0
 ; ;VARADERO        ;0;0;0;0;0;2.395;4.178;5.203;3.802;4.334
 ; ;PUNTA CANA, R.D.;0;0;0;0;0;4.181;5.646;10.376;10.689;10.451
 ; ;SANTO DOMINGO   ;0;0;0;0;0;1.785;5.035;0;0;0
 ; ;CANCUN, MEX.    ;0;0;0;0;0;4.971;10.252;10.335;10.231;10.408
 ; ;JOHANNESBURG    ;0;0;0;0;0;710;0;0;0;0
 ; ;PTO. ELIZABERH  ;0;0;0;0;0;252;0;0;0;0
 ;IQUIQUE CON;FLORIANAPOLIS   ;0;0;0;0;0;122;0;0;0;0
 ;ANTOFAGASTA CON;FLORIANAPOLIS   ;0;0;0;0;0;15;0;0;0;0
TOTAL;INTERNACIONAL DE;PAL AIRLINES;0;0;0;43.287;4.941;35.214;43.562;34.485;34.172;35.696
AEROLINEAS DEL SUR;SANTIAGO CON;BUENOS AIRES    ;373;0;0;0;0;0;0;0;0;0
 ; ;USHUAIA, ARG.   ;0;307;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;AEROLINEAS DEL SUR;373;307;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;SANTIAGO CON;CURITIBA        ;0;0;0;0;0;0;0;0;0;63
 ; ;ASUNCION        ;0;0;0;0;0;0;0;0;99;26
 ;PUNTA ARENAS CON;COM. RIVADAVIA  ;0;0;0;0;0;0;0;41;1;0
 ; ;EL CALAFATE     ;0;0;0;0;0;58;0;472;54;2
 ; ;RIO GALLEGOS ARG;381;0;2.031;11;13;0;0;7;0;0
 ; ;RIO GRANDE, ARG.;7;15;13;4;0;14;0;6;5;0
 ; ;USHUAIA, ARG.   ;472;155;152;60;26;80;11;139;0;6
 ; ;PTO.STANLEY     ;0;0;0;6;0;6;0;0;0;0
