TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ; ;DE BARRANQUILLA    ;0;0;0;0;0;0;0;0;221;0
 ; ;DE BOGOTA          ;16.752;18.810;18.885;19.343;19.339;28.446;39.834;61.103;62.716;43.492
 ; ;DE MEDELLIN        ;0;0;0;0;86;0;0;0;0;0
 ; ;DE BARCELONA VENEZ.;0;0;0;0;0;0;0;166;0;0
 ; ;DE CARACAS         ;13.524;13.910;15.742;16.564;15.419;13.428;14.591;15.797;17.610;6.125
 ; ;DE MOUNT PLEASANT  ;0;0;0;0;0;0;0;110;419;929
 ; ;DE PTO.STANLEY     ;2.606;2.752;3.029;1.940;1.420;1.966;1.879;1.740;1.368;707
 ; ;DE LA HAVANA       ;12.955;8.186;4.748;3.625;4.439;2.004;985;0;0;0
 ; ;DE PUNTA CANA, R.D.;12.149;11.064;9.114;10.330;12.500;9.417;9.329;13.368;13.396;13.918
 ; ;DE C. DE MEXICO    ;61.785;67.771;66.177;68.971;55.640;61.062;65.300;68.994;72.721;69.527
 ; ;DE CANCUN, MEX.    ;15.023;7.063;6.305;6.993;6.986;8.267;9.428;13.840;15.828;15.224
 ; ;DE TORONTO         ;0;0;0;2.083;4.758;3.817;1.534;0;0;0
 ; ;DE LOS ANGELES     ;33.498;34.567;46.181;48.986;33.965;28.522;30.037;22.821;31.148;26.376
 ; ;DE LOS ANGELES, US.;0;0;0;0;0;0;0;0;0;5.773
 ; ;DE MIAMI           ;68.786;67.837;71.840;68.985;72.986;80.106;86.075;107.087;111.289;109.538
 ; ;DE NUEVA YORK      ;22.338;23.994;30.949;38.626;41.737;42.820;59.731;62.243;60.800;61.742
 ; ;DE ORLANDO, US.    ;0;0;0;0;0;0;0;652;778;0
 ; ;DE FRANKFURT       ;15.807;17.242;15.763;13.804;13.455;12.846;11.442;13.639;7.445;11.601
 ; ;DE MADRID          ;64.296;61.671;67.539;68.020;68.627;76.107;75.688;72.273;66.821;71.031
 ; ;DE PARIS           ;0;0;0;0;0;1.725;2.707;0;0;0
 ; ;DE ROMA            ;223;0;0;0;0;0;0;0;0;0
 ; ;DE CAPE TOWN       ;0;0;0;0;0;598;0;0;0;0
 ; ;DE JOHANNESBURG    ;0;0;0;0;0;578;0;0;0;0
 ; ;DE SYDNEY          ;25.202;30.883;37.222;42.299;34.043;29.547;29.625;40.907;23.177;30.522
 ; ;DE AUCKLAND N.Z.   ;22.564;31.167;33.593;34.845;33.500;35.391;36.532;35.071;38.256;42.248
 ; ;DE PAPEETE         ;6.348;7.818;8.580;8.431;7.188;7.221;5.419;5.106;4.675;4.464
 ;A ARICA;DE LA PAZ          ;2.680;1.153;0;0;0;0;0;0;0;0
 ;A IQUIQUE;DE SALTA, ARG.     ;768;569;605;817;808;859;1.356;1.727;2.600;1.849
 ; ;DE LIMA            ;0;0;0;0;7.703;3.060;0;0;0;0
 ; ;DE LA PAZ          ;4.137;3.359;4.650;4.365;3.749;6.561;5.443;7.333;6.184;6.336
 ; ;DE SANTA CRUZ, BOL.;0;1.736;4.296;4.774;5.428;9.350;10.083;8.806;10.111;8.832
 ; ;DE SAO PAULO       ;0;0;0;0;0;152;0;0;0;0
 ; ;DE C. DE MEXICO    ;0;0;0;0;0;0;0;196;0;0
 ; ;DE MIAMI           ;87;0;0;0;0;0;0;0;0;0
 ; ;DE NUEVA YORK      ;0;0;0;0;0;122;0;0;0;0
 ;A ANTOFAGASTA;DE SALTA, ARG.     ;109;99;198;0;0;0;0;0;0;0
 ; ;DE SANTA CRUZ, BOL.;0;0;67;0;0;0;0;0;0;0
 ; ;DE SAO PAULO       ;0;0;0;0;0;150;0;0;0;0
 ;A CALAMA;DE JUJUY, ARG.     ;0;0;0;0;0;0;139;0;0;0
 ; ;DE SAO PAULO       ;0;0;43;0;0;0;0;0;0;0
 ;A LA SERENA;DE BUENOS AIRES    ;0;0;0;0;0;120;0;0;0;0
 ; ;DE FLORIANAPOLIS   ;0;0;0;0;0;0;0;0;0;167
 ;A ISLA DE PASCUA;DE LIMA            ;195;0;0;0;0;0;4.124;13.449;1.722;0
