TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
VARIG             ;104.485;47.958;0;0;0;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;380;38.828;11.610;0;0;0;0;0
T.A.M.            ;18.914;22.834;16.864;16.535;11.477;13.066;17.090;19.035;16.737;22.127
BQB LINEAS AEREAS ;0;0;0;0;0;0;0;0;628;7.147
PLUNA             ;20.587;24.029;21.700;19.873;38.982;50.729;71.213;43.515;0;0
LAN ECUADOR       ;0;20.706;56.730;75.391;86.977;91.314;71.894;51.963;53.983;52.689
T.A.M.E.          ;0;0;0;0;0;0;405;0;210;0
AVIANCA           ;17.664;20.362;27.379;34.537;33.574;39.859;44.711;66.904;75.810;75.618
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;12.382;46.936
L.A.C.S.A.        ;37.259;4.056;35.574;1.323;1.315;1.978;3.027;1.908;57.525;71.574
CUBANA DE AVIACION;0;0;0;75;0;0;0;0;0;0
C.O.P.A.          ;41.799;58.474;65.449;70.473;69.764;80.065;111.686;145.181;185.807;195.559
AEROMEXICO        ;18.438;19.278;20.833;17.283;17.457;15.397;18.911;23.913;14.166;25.666
LATINOAMERICANAS  ;460.019;443.515;654.614;637.911;696.187;787.386;870.308;916.446;971.526;1.061.320
AIR CANADA        ;33.747;35.999;38.319;57.227;43.133;53.607;58.508;70.273;65.168;58.765
AMERICAN AIRLINES ;94.959;104.770;108.158;104.949;97.995;95.463;99.283;106.898;111.648;110.009
DELTA AIRLINES    ;43.984;57.320;53.484;53.691;48.386;51.264;55.865;57.099;61.059;63.880
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;3.719
NORTEAMERICANAS   ;172.690;198.089;199.961;215.867;189.514;200.334;213.656;234.270;237.875;236.373
LUFTHANSA         ;60.818;22.246;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;23.078;17.633;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;9.016
AIR MADRID        ;14.216;39.670;0;0;0;0;0;0;0;0
IBERIA            ;63.682;79.200;85.512;83.982;87.713;84.950;91.471;89.377;97.943;103.308
AIR FRANCE        ;53.861;68.291;58.042;66.514;64.325;66.915;85.796;103.679;108.594;102.833
SWISSAIR          ;0;24.836;45.200;58.290;14.182;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;29.769
EUROPEAS          ;192.577;234.243;211.832;226.419;166.220;151.865;177.267;193.056;206.537;244.926
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;18.675;49.243;48.020
PACIFICO SUR      ;0;0;0;0;0;0;0;18.675;49.243;48.020
TOTAL GENERAL;1.977.557;2.083.470;2.414.383;2.427.529;2.296.584;2.514.729;2.963.834;3.387.812;3.439.253;3.658.400
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS TOTALES (Llegados+Salidos) CON CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;43.287;4.941;35.214;43.562;34.485;34.172;35.696
AEROLINEAS DEL SUR;373;307;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;860;170;2.196;81;39;158;11;665;159;97
LAN AIRLINES         ;2.198.143;2.285.605;2.582.321;2.520.588;2.326.445;2.524.896;2.981.160;3.734.415;3.581.687;3.677.221
LAN EXPRESS       ;117.705;128.969;125.579;139.551;133.977;130.254;144.240;14.910;0;174
SKY AIRLINE       ;13.553;13.206;13.148;21.291;29.600;63.473;216.101;275.930;347.924;424.649
CHILENAS          ;2.330.634;2.428.257;2.723.244;2.724.798;2.495.002;2.753.995;3.385.074;4.060.405;3.963.942;4.137.837
AEROL. ARGENTINAS ;247.215;190.350;203.535;152.029;139.693;191.489;203.142;81.010;115.412;80.592
AUSTRAL           ;0;3.507;256;2.500;0;0;0;117.052;155.515;177.344
LAN ARGENTINA     ;0;9.065;42.052;33.092;120.148;169.724;73.229;144.237;96.839;40.594
LINEA A.DEL ESTADO;0;126;0;0;0;0;0;0;0;0
LAN PERU          ;58.292;26.108;116.790;163.385;177.506;152.247;220.453;217.598;216.313;282.662
TACA-PERU         ;0;66.188;19.511;88.034;84.785;103.743;141.368;130.287;1.575;49
AMASZONAS S.A.    ;0;0;0;0;0;0;0;0;0;1.403
LLOYD A. BOLIVIANO;31.556;17.462;4.543;0;0;0;0;0;0;0
GOL TRANS         ;0;50.764;286.774;148.906;101.408;89.605;124.682;115.688;1.490;95.467
T.A.M. LINEAS AEREAS;69.564;110.454;153.108;143.677;235.126;293.276;290.357;343.491;546.527;462.465
VARIG             ;217.286;95.492;0;0;0;0;0;0;0;0
