TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
SWISSAIR          ;0;2.137;4.428;5.142;1.412;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;710
MARTINAIR HOLLAND ;5.672;6.610;6.836;7.527;11.111;11.786;14.572;15.522;14.101;12.427
EUROPEAS          ;24.355;25.930;29.044;28.172;27.135;26.944;26.908;25.716;27.897;25.907
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;103;0;1.137
PACIFICO SUR      ;0;0;0;0;0;0;0;103;0;1.137
TOTAL GENERAL;246.786;249.286;287.281;282.486;234.761;266.643;267.500;287.235;270.789;268.636
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;63.196;5.486;74.021;89.899;91.632;88.889;91.775
AEROLINEAS DEL SUR;212;342;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;99;17;220;9;8;24;2;111;87;3
LAN AIRLINES         ;4.240.915;4.442.018;4.978.502;5.091.057;4.706.303;4.935.466;5.445.103;6.543.569;6.162.992;6.358.957
LAN EXPRESS       ;177.379;184.564;186.046;197.309;189.791;185.674;197.361;12.682;0;372
SKY AIRLINE       ;11.309;14.132;15.625;13.914;13.561;46.531;143.716;229.500;281.206;384.601
CHILENAS          ;4.429.914;4.641.073;5.180.393;5.365.485;4.915.149;5.241.716;5.876.081;6.877.494;6.533.174;6.835.708
AEROL. ARGENTINAS ;141.310;110.701;119.469;89.762;81.851;109.078;106.637;40.727;59.203;42.731
AUSTRAL           ;0;2.146;220;1.380;0;0;0;52.685;76.040;100.498
LAN ARGENTINA     ;0;9.789;23.797;17.462;66.027;88.993;42.388;82.598;56.058;24.912
LINEA A.DEL ESTADO;0;469;0;0;0;0;0;0;0;0
LAN PERU          ;100.898;57.598;160.471;170.174;161.390;157.237;334.199;551.400;544.193;564.186
TACA-PERU         ;0;146.943;39.983;214.614;207.193;255.525;328.537;319.244;1.940;120
LLOYD A. BOLIVIANO;31.878;17.844;4.092;0;0;0;0;0;0;0
GOL TRANS         ;0;42.240;263.699;120.043;69.769;51.527;84.888;77.336;1.226;128.769
T.A.M. LINEAS AEREAS;93.345;145.954;202.370;193.482;307.933;390.856;357.018;453.813;740.464;615.356
VARIG             ;292.484;123.631;0;0;0;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;4.565;101.567;28.383;0;0;0;0;0
T.A.M.            ;34.343;46.701;35.669;35.220;24.589;25.059;26.693;32.466;31.406;35.400
BQB LINEAS AEREAS ;0;0;0;0;0;0;0;0;722;9.732
PLUNA             ;36.071;37.738;42.838;28.263;55.740;71.247;99.771;57.843;0;0
LAN ECUADOR       ;0;57.535;136.777;187.894;209.848;224.539;208.308;165.666;165.481;157.016
AVIANCA           ;83.420;96.500;126.089;161.119;154.167;176.323;203.043;305.659;339.807;335.025
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;50.565;204.735
L.A.C.S.A.        ;163.764;16.742;170.605;4.955;3.342;4.345;8.198;4.362;293.415;217.682
C.O.P.A.          ;207.912;296.792;332.529;353.110;355.399;400.309;572.308;738.623;951.544;1.001.038
AEROMEXICO        ;103.256;127.155;138.414;99.983;102.732;103.803;156.864;190.247;104.699;186.488
LATINOAMERICANAS  ;1.288.681;1.336.478;1.801.587;1.779.028;1.828.363;2.058.841;2.528.852;3.072.669;3.416.763;3.623.688
AIR CANADA        ;192.467;198.928;229.039;302.023;292.597;309.686;377.406;417.927;360.429;327.708
AMERICAN AIRLINES ;746.049;824.740;866.287;862.815;849.686;905.954;963.267;1.066.348;1.083.668;1.138.211
DELTA AIRLINES    ;390.081;481.049;472.334;424.162;381.638;396.855;447.809;470.366;498.068;523.757
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;34.629
NORTEAMERICANAS   ;1.328.597;1.504.717;1.567.660;1.589.000;1.523.921;1.612.495;1.788.482;1.954.641;1.942.165;2.024.305
LUFTHANSA         ;644.508;203.474;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;244.595;173.384;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;43.502
AIR MADRID        ;144.618;319.608;0;0;0;0;0;0;0;0
IBERIA            ;751.871;963.389;1.035.330;1.083.313;1.061.879;993.033;1.020.037;1.095.899;1.191.862;1.128.341
AIR FRANCE        ;392.275;507.089;683.120;803.265;797.198;783.328;1.033.745;1.243.172;1.314.999;1.231.042
SWISSAIR          ;0;125.236;301.688;450.274;104.576;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;36.476
EUROPEAS          ;1.933.272;2.118.796;2.264.733;2.510.236;1.963.653;1.776.361;2.053.782;2.339.071;2.506.861;2.439.361
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;367.072;552.154;601.579
PACIFICO SUR      ;0;0;0;0;0;0;0;367.072;552.154;601.579
TOTAL GENERAL;8.980.464;9.601.064;10.814.373;11.243.749;10.231.086;10.689.413;12.247.197;14.610.947;14.951.117;15.524.641
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) SALIDOS DESDE CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;63.763;5.298;71.559;101.447;96.504;91.092;96.094
AEROLINEAS DEL SUR;213;392;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;105;27;232;15;2;26;1;115;89;183
LAN AIRLINES         ;4.203.394;4.420.885;4.911.663;5.025.528;4.679.064;4.989.405;5.470.551;6.506.896;6.156.337;6.337.818
LAN EXPRESS       ;145.823;169.511;159.142;183.030;181.199;173.184;197.427;13.417;0;0
SKY AIRLINE       ;13.830;13.760;13.869;14.898;47.615;54.610;187.167;209.899;257.794;358.904
CHILENAS          ;4.363.365;4.604.575;5.084.906;5.287.234;4.913.178;5.288.784;5.956.593;6.826.831;6.505.312;6.792.999
AEROL. ARGENTINAS ;381.687;234.513;291.883;189.906;206.544;231.223;211.944;82.189;82.468;77.268
AUSTRAL           ;0;1.849;72;1.467;0;0;0;104.611;105.415;178.360
LAN ARGENTINA     ;0;536;24.100;20.230;70.822;93.381;41.020;81.688;54.241;21.324
LAN PERU          ;91.647;41.831;149.414;175.277;169.662;170.425;329.921;325.896;328.843;418.377
TACA-PERU         ;0;139.098;38.217;209.852;199.815;249.157;304.974;306.190;1.859;0
AMASZONAS S.A.    ;0;0;0;0;0;0;0;0;0;991
LLOYD A. BOLIVIANO;27.992;13.702;4.139;0;0;0;0;0;0;0
GOL TRANS         ;0;39.396;270.365;130.833;97.239;93.806;143.815;129.091;3.100;118.589
T.A.M. LINEAS AEREAS;88.013;141.455;197.102;179.480;303.410;370.838;395.566;439.434;698.532;591.314
VARIG             ;280.458;125.687;0;0;0;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;982;101.800;30.739;0;0;0;0;0
T.A.M.            ;31.581;39.957;28.766;27.784;18.288;20.514;26.831;29.885;26.277;34.739
BQB LINEAS AEREAS ;0;0;0;0;0;0;0;0;857;9.756
PLUNA             ;38.807;42.708;41.039;27.379;53.602;70.300;98.025;59.398;0;0
LAN ECUADOR       ;0;57.154;142.658;190.094;214.971;226.779;206.998;177.968;172.332;165.125
T.A.M.E.          ;0;0;0;0;0;0;1.531;0;687;0
AVIANCA           ;90.222;90.669;125.416;164.549;158.146;191.654;208.084;299.345;345.784;369.946
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;52.586;199.337
L.A.C.S.A.        ;155.540;16.568;163.201;3.253;3.234;4.864;7.443;4.692;268.133;372.969
CUBANA DE AVIACION;0;0;0;368;0;0;0;0;0;0
C.O.P.A.          ;209.217;293.666;325.342;365.972;363.331;393.547;536.233;696.667;892.803;936.700
AEROMEXICO        ;121.199;127.023;135.976;113.409;114.785;101.451;124.605;157.265;93.340;169.113
LATINOAMERICANAS  ;1.516.363;1.405.812;1.938.672;1.901.653;2.004.588;2.217.939;2.636.990;2.894.319;3.127.257;3.663.908
AIR CANADA        ;178.039;188.252;216.521;294.201;270.898;287.319;322.469;383.363;338.569;311.898
AMERICAN AIRLINES ;696.792;766.828;791.883;767.790;719.933;702.741;727.238;785.142;817.028;805.020
DELTA AIRLINES    ;344.483;448.930;418.933;420.508;378.959;401.500;437.350;447.199;476.956;500.308
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;27.948
NORTEAMERICANAS   ;1.219.314;1.404.010;1.427.337;1.482.499;1.369.790;1.391.560;1.487.057;1.615.704;1.632.553;1.645.174
LUFTHANSA         ;625.068;221.024;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;247.165;188.849;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;39.216
AIR MADRID        ;150.391;371.409;0;0;0;0;0;0;0;0
IBERIA            ;690.213;855.659;923.787;904.583;943.016;913.954;983.815;961.190;1.050.365;1.106.429
AIR FRANCE        ;391.896;506.720;646.774;775.819;750.287;780.497;1.000.725;1.209.312;1.266.640;1.199.444
SWISSAIR          ;0;104.377;272.713;361.373;101.335;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;230.230
EUROPEAS          ;1.857.568;2.059.189;2.090.439;2.230.624;1.794.638;1.694.451;1.984.540;2.170.502;2.317.005;2.575.319
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;211.681;559.183;540.972
PACIFICO SUR      ;0;0;0;0;0;0;0;211.681;559.183;540.972
TOTAL GENERAL;8.956.610;9.473.586;10.541.354;10.902.010;10.082.194;10.592.734;12.065.180;13.719.037;14.141.310;15.218.372
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS-KILOMETROS (en Miles) TOTALES (Llegados+Salidos) CON CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;126.961;10.784;145.581;191.345;188.136;179.981;187.872
AEROLINEAS DEL SUR;425;734;0;0;0;0;0;0;0;0
AEROVIAS D.A.P.   ;204;44;451;24;10;48;3;225;174;186
LAN AIRLINES         ;8.444.306;8.862.903;9.890.162;10.116.584;9.385.367;9.924.872;10.915.653;13.050.464;12.319.332;12.696.785
LAN EXPRESS       ;323.201;354.074;345.188;380.337;370.990;358.856;394.788;26.100;0;372
SKY AIRLINE       ;25.139;27.893;29.495;28.813;61.177;101.141;330.882;439.399;538.998;743.504
CHILENAS          ;8.793.275;9.245.648;10.265.296;10.652.719;9.828.328;10.530.498;11.832.671;13.704.324;13.038.485;13.628.719
AEROL. ARGENTINAS ;522.997;345.213;411.352;279.668;288.395;340.301;318.582;122.915;141.671;120.000
AUSTRAL           ;0;3.994;292;2.848;0;0;0;157.297;181.455;278.858
LAN ARGENTINA     ;0;10.325;47.897;37.692;136.849;182.374;83.408;164.286;110.300;46.237
LINEA A.DEL ESTADO;0;469;0;0;0;0;0;0;0;0
LAN PERU          ;192.546;99.429;309.885;345.450;331.052;327.660;664.122;877.295;873.034;982.562
TACA-PERU         ;0;286.039;78.199;424.466;407.008;504.684;633.513;625.434;3.799;120
AMASZONAS S.A.    ;0;0;0;0;0;0;0;0;0;991
LLOYD A. BOLIVIANO;59.870;31.546;8.231;0;0;0;0;0;0;0
GOL TRANS         ;0;81.638;534.063;250.876;167.009;145.333;228.703;206.427;4.325;247.359
T.A.M. LINEAS AEREAS;181.358;287.410;399.472;372.962;611.343;761.694;752.583;893.247;1.438.996;1.206.670
VARIG             ;572.943;249.318;0;0;0;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;5.547;203.367;59.122;0;0;0;0;0
T.A.M.            ;65.924;86.660;64.435;63.004;42.877;45.572;53.524;62.351;57.683;70.140
BQB LINEAS AEREAS ;0;0;0;0;0;0;0;0;1.579;19.488
PLUNA             ;74.878;80.446;83.877;55.642;109.342;141.546;197.796;117.241;0;0
LAN ECUADOR       ;0;114.690;279.436;377.988;424.819;451.318;415.305;343.632;337.813;322.143
T.A.M.E.          ;0;0;0;0;0;0;1.531;0;687;0
AVIANCA           ;173.642;187.169;251.505;325.668;312.313;367.977;411.127;605.004;685.590;704.971
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;103.151;404.072
L.A.C.S.A.        ;319.300;33.309;333.804;8.208;6.575;9.209;15.642;9.054;561.549;590.651
CUBANA DE AVIACION;0;0;0;368;0;0;0;0;0;0
C.O.P.A.          ;417.129;590.456;657.872;719.082;718.730;793.856;1.108.541;1.435.289;1.844.346;1.937.739
AEROMEXICO        ;224.455;254.177;274.390;213.392;217.517;205.254;281.469;347.513;198.039;355.602
LATINOAMERICANAS  ;2.805.042;2.742.288;3.740.257;3.680.681;3.832.951;4.276.778;5.165.846;5.966.985;6.544.017;7.287.603
AIR CANADA        ;370.506;387.180;445.559;596.223;563.495;597.005;699.874;801.289;698.999;639.607
AMERICAN AIRLINES ;1.442.841;1.591.568;1.658.169;1.630.604;1.569.619;1.608.695;1.690.505;1.851.490;1.900.697;1.943.230
DELTA AIRLINES    ;734.563;929.980;891.266;844.670;760.597;798.355;885.158;917.566;975.024;1.024.065
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;62.577
NORTEAMERICANAS   ;2.547.910;2.908.728;2.994.994;3.071.497;2.893.711;3.004.055;3.275.537;3.570.345;3.574.720;3.669.479
LUFTHANSA         ;1.269.577;424.498;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;491.760;362.234;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;82.718
AIR MADRID        ;295.010;691.017;0;0;0;0;0;0;0;0
IBERIA            ;1.442.083;1.819.047;1.959.117;1.987.896;2.004.895;1.906.987;2.003.851;2.057.090;2.242.226;2.234.770
AIR FRANCE        ;784.171;1.013.808;1.329.894;1.579.084;1.547.485;1.563.824;2.034.470;2.452.484;2.581.640;2.430.486
SWISSAIR          ;0;229.613;574.402;811.647;205.912;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;266.707
EUROPEAS          ;3.790.841;4.177.983;4.355.173;4.740.861;3.758.292;3.470.811;4.038.321;4.509.574;4.823.866;5.014.681
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;578.753;1.111.337;1.142.551
PACIFICO SUR      ;0;0;0;0;0;0;0;578.753;1.111.337;1.142.551
TOTAL GENERAL;17.937.068;19.074.647;21.355.720;22.145.758;20.313.282;21.282.142;24.312.375;28.329.981;29.092.425;30.743.033
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) LLEGADAS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;0;0;0;0;0;289
LAN CARGO            ;51.700;94.037;114.166;116.439;98.064;136.155;135.219;136.917;146.979;133.729
LAN AIRLINES         ;220.152;221.280;224.799;242.474;225.329;259.841;253.360;237.525;222.311;232.897
LAN EXPRESS       ;8.924;7.456;6.495;8.613;7.734;7.740;4.893;528;0;0
SKY AIRLINE       ;0;0;0;328;0;0;3;362;618;388
CHILENAS          ;280.776;322.773;345.460;367.854;331.127;403.736;393.475;375.332;369.908;367.303
AEROL. ARGENTINAS ;1.317;1.764;1.066;690;264;113;42;65;18;8
AUSTRAL           ;0;24;0;9;0;0;0;9;18;28
LAN ARGENTINA     ;0;694;400;15;47;59;7;182;38;4
CIELOS DEL PERU   ;35.300;37.146;53.910;86.417;0;0;0;0;0;0
LAN PERU          ;10.940;2.616;1.078;2.142;2.717;2.504;1.095;1.695;1.408;1.652
LLOYD A. BOLIVIANO;381;179;22;0;0;0;0;0;0;0
GOL TRANS         ;0;124;1.064;512;489;358;509;365;0;0
T.A.M. LINEAS AEREAS;946;3.703;4.522;6.579;7.473;9.512;12.014;8.823;0;0
VARIG             ;9.888;2.048;0;0;0;0;0;0;0;0
VARIG LOG SA      ;0;3.242;4.915;3.075;1.211;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;27;485;49;0;0;0;0;0
T.A.M.            ;196;156;110;245;177;192;173;129;0;0
PLUNA             ;459;241;546;73;36;83;4;0;0;0
LAN ECUADOR       ;0;820;1.143;606;756;1.176;1.790;1.553;989;530
AVIANCA           ;3.709;3.362;3.809;4.041;4.969;3.676;5.017;12.237;11.773;9.688
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;2.169;7.572
LANCO (CARGA)     ;0;0;0;0;0;0;306;6.482;744;0
TAMPA             ;5.525;12.427;4.256;0;0;0;0;0;0;0
C.O.P.A.          ;669;448;460;493;1.300;1.734;1.327;776;581;932
AEROMEXICO        ;4.974;5.986;5.393;5.221;6.750;5.610;7.372;10.511;4.872;8.895
LATINOAMERICANAS  ;74.304;74.980;82.721;110.603;26.238;25.017;29.656;42.827;22.610;29.309
AIR CANADA        ;7.188;7.699;11.546;12.692;7.816;10.816;13.597;15.236;14.713;14.341
AMERICAN AIRLINES ;29.461;34.630;25.454;23.449;20.544;17.431;16.561;9.071;11.593;10.121
ARROW CARGO       ;0;1.977;2.324;10.789;699;3.733;0;0;0;0
ATLAS AIR INC.    ;8.236;7.258;31.394;11.631;23.314;41.888;50.336;59.061;81.171;79.876
CENTURION AIR CARGO;0;0;0;0;50.527;82.875;88.110;47.674;20.291;5.472
DELTA AIRLINES    ;21.874;16.006;8.179;5.953;5.623;5.529;5.529;5.670;5.670;5.884
POLAR AIR CARGO   ;39.279;48.966;47.626;26.244;0;0;0;0;0;0
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;296
NORTEAMERICANAS   ;106.038;116.536;126.523;90.758;108.523;162.272;174.133;136.712;133.438;115.990
LUFTHANSA         ;20.607;5.627;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;2.156;2.501;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;1.712
AIR MADRID        ;1.688;2.399;0;0;0;0;0;0;0;0
IBERIA            ;27.888;31.487;35.715;28.396;29.860;40.437;44.850;45.099;47.901;23.170
AIR FRANCE        ;13.510;16.299;20.232;18.812;16.306;23.404;17.087;11.755;15.264;14.232
CARGOLUX AIRLINES ;27.301;31.919;33.858;33.007;25.867;19.336;0;383;16.570;29.474
SWISSAIR          ;0;7.150;12.969;17.380;4.743;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;313
MARTINAIR HOLLAND ;64.451;75.938;69.074;75.412;100.741;105.629;132.111;143.434;130.905;106.573
EUROPEAS          ;155.445;170.819;174.004;175.508;177.517;188.806;194.048;200.671;210.640;175.474
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;1.169;0;5.777
PACIFICO SUR      ;0;0;0;0;0;0;0;1.169;0;5.777
TOTAL GENERAL;616.563;685.108;728.708;744.723;643.405;779.831;791.312;756.711;736.596;693.853
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) SALIDAS DESDE CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;0;0;106;0;0;175
LAN CARGO            ;125.849;142.955;194.779;183.694;96.920;135.910;137.387;181.230;157.852;172.336
LAN AIRLINES         ;306.080;292.889;309.039;293.947;286.319;311.548;318.607;337.377;344.433;356.771
LAN EXPRESS       ;10.692;10.832;11.144;12.511;12.068;11.755;9.253;368;0;0
SKY AIRLINE       ;0;0;0;573;213;36;0;602;1.057;1.604
CHILENAS          ;442.621;446.676;514.962;490.725;395.520;459.249;465.353;519.577;503.342;530.886
AEROL. ARGENTINAS ;536;851;359;265;267;208;135;111;192;78
AUSTRAL           ;0;25;5;5;0;0;0;25;103;226
LAN ARGENTINA     ;0;88;366;19;26;37;3;35;16;10
CIELOS DEL PERU   ;72.215;49.733;84.042;95.465;0;0;0;0;0;0
LAN PERU          ;21.476;4.165;1.124;2.462;3.448;1.968;79;110;285;740
TACA-PERU         ;0;1.255;561;2.050;1.716;1.977;2.124;2.074;0;0
LLOYD A. BOLIVIANO;1.351;625;93;0;0;0;0;0;0;0
GOL TRANS         ;0;205;653;518;585;451;273;221;0;0
T.A.M. LINEAS AEREAS;562;5.461;8.475;12.044;15.744;15.217;15.034;12.184;0;0
VARIG             ;14.808;2.320;0;0;0;0;0;0;0;0
VARIG LOG SA      ;0;4.500;6.683;1.533;945;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;195;385;68;0;0;0;0;0
T.A.M.            ;325;382;264;481;369;507;437;262;0;0
PLUNA             ;958;489;869;204;66;198;11;8;0;0
LAN ECUADOR       ;4.618;5.717;3.020;580;483;649;1.008;399;421;299
AVIANCA           ;5.036;5.354;6.890;6.444;7.593;4.797;5.929;13.242;15.912;15.359
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;4.487;15.480
LANCO (CARGA)     ;0;0;0;0;0;0;2.549;682;537;1.050
TAMPA             ;7.891;12.128;4.331;0;0;0;0;0;0;0
L.A.C.S.A.        ;1.838;141;1.492;14;38;55;116;74;2.504;1.446
C.O.P.A.          ;1.265;721;1.032;922;1.674;1.597;1.366;568;176;431
AEROMEXICO        ;13.509;8.841;9.307;5.316;6.176;6.938;8.716;12.727;7.996;16.137
LATINOAMERICANAS  ;146.388;103.001;129.761;128.707;39.198;34.599;37.780;42.722;32.629;51.256
AIR CANADA        ;13.409;11.431;12.625;10.978;11.831;16.445;19.780;19.426;20.640;22.781
AMERICAN AIRLINES ;60.959;52.219;52.990;48.923;42.546;42.118;46.667;60.093;62.145;64.920
ARROW CARGO       ;0;10.463;22.123;28.915;29.995;5.871;0;0;0;0
ATLAS AIR INC.    ;24.171;13.954;37.761;35.582;67.974;62.061;74.850;125.934;153.758;139.540
CENTURION AIR CARGO;0;0;0;0;69.824;93.295;82.758;86.869;50.539;33.113
DELTA AIRLINES    ;36.023;31.386;40.529;60.475;50.510;52.521;80.068;92.332;88.789;59.782
POLAR AIR CARGO   ;80.805;86.364;102.325;67.459;0;0;0;0;0;0
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;1.392
NORTEAMERICANAS   ;215.367;205.817;268.353;252.332;272.680;272.311;304.123;384.654;375.871;321.528
LUFTHANSA         ;20.230;6.262;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;3.137;2.246;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;769
AIR MADRID        ;2.894;3.568;0;0;0;0;0;0;0;0
IBERIA            ;35.483;42.529;46.359;43.781;43.989;45.284;41.689;25.179;34.130;26.665
AIR FRANCE        ;29.519;26.982;36.590;30.289;35.225;30.638;32.049;30.215;29.673;24.649
CARGOLUX AIRLINES ;7.007;5.691;7.812;6.157;7.522;4.763;476;0;8.496;22.317
SWISSAIR          ;0;8.669;16.664;14.889;3.366;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;3.731
MARTINAIR HOLLAND ;3.608;2.747;6.798;4.050;7.008;8.845;6.586;8.165;10.187;15.044
EUROPEAS          ;98.741;96.448;117.360;101.412;97.110;89.530;80.800;63.559;82.486;93.175
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;0;0;7.114
PACIFICO SUR      ;0;0;0;0;0;0;0;0;0;7.114
TOTAL GENERAL;903.117;851.942;1.030.436;973.176;804.508;855.689;888.056;1.010.512;994.328;1.003.959
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE TONELADAS DE CARGA-KILOMETROS (en Miles) TOTALES (Llegadas+Salidas) CON CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;0;0;106;0;0;464
LAN CARGO            ;177.549;236.994;308.947;300.133;194.983;272.064;272.607;318.147;304.831;306.064
LAN AIRLINES         ;526.231;514.171;533.841;536.418;511.651;571.386;571.968;574.902;566.744;589.665
LAN EXPRESS       ;19.615;18.289;17.639;21.124;19.802;19.495;14.147;897;0;0
SKY AIRLINE       ;0;0;0;901;213;36;3;964;1.676;1.992
CHILENAS          ;723.395;769.454;860.427;858.576;726.649;862.981;858.831;894.910;873.251;898.185
AEROL. ARGENTINAS ;1.852;2.615;1.425;955;531;321;177;176;210;86
AUSTRAL           ;0;49;5;13;0;0;0;34;120;254
LAN ARGENTINA     ;0;782;765;34;72;96;9;218;54;14
CIELOS DEL PERU   ;107.515;86.879;137.951;181.882;0;0;0;0;0;0
LAN PERU          ;32.416;6.782;2.202;4.604;6.165;4.473;1.174;1.805;1.693;2.392
TACA-PERU         ;0;1.255;561;2.050;1.716;1.977;2.124;2.074;0;0
LLOYD A. BOLIVIANO;1.732;804;116;0;0;0;0;0;0;0
GOL TRANS         ;0;329;1.719;1.029;1.075;809;780;586;0;0
T.A.M. LINEAS AEREAS;1.508;9.164;12.997;18.623;23.218;24.729;27.047;21.007;0;0
VARIG             ;24.697;4.367;0;0;0;0;0;0;0;0
VARIG LOG SA      ;0;7.742;11.597;4.608;2.156;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;222;871;117;0;0;0;0;0
T.A.M.            ;521;538;374;725;546;698;610;391;0;0
PLUNA             ;1.417;730;1.415;277;102;281;15;8;0;0
LAN ECUADOR       ;4.618;6.536;4.164;1.186;1.238;1.825;2.798;1.951;1.409;828
AVIANCA           ;8.746;8.715;10.699;10.484;12.562;8.474;10.946;25.479;27.685;25.048
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;6.657;23.052
LANCO (CARGA)     ;0;0;0;0;0;0;2.855;7.164;1.281;1.050
TAMPA             ;13.416;24.556;8.586;0;0;0;0;0;0;0
L.A.C.S.A.        ;1.838;141;1.492;14;38;55;116;74;2.504;1.446
C.O.P.A.          ;1.934;1.169;1.492;1.415;2.974;3.331;2.693;1.344;757;1.363
AEROMEXICO        ;18.483;14.826;14.700;10.537;12.926;12.548;16.089;23.238;12.868;25.032
LATINOAMERICANAS  ;220.693;177.979;212.482;239.307;65.436;59.617;67.433;85.549;55.238;80.565
AIR CANADA        ;20.597;19.130;24.171;23.637;19.647;27.261;33.377;34.662;35.353;37.122
AMERICAN AIRLINES ;90.420;86.849;78.444;72.371;63.091;59.549;63.228;69.165;73.737;75.042
ARROW CARGO       ;0;12.440;24.447;39.704;30.694;9.604;0;0;0;0
