TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2017;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LATAM AIRLINES ECUADOR       ;5.252;4.209;3.186;3.223;2.889;2.732;0;0;0;0;0;0;21.491
AVIANCA           ;14.732;12.118;11.405;11.958;13.644;11.733;0;0;0;0;0;0;75.590
L.A.C.S.A.        ;5.708;4.649;4.568;4.564;5.052;4.370;0;0;0;0;0;0;28.911
C.O.P.A.          ;25.861;21.154;16.082;18.410;19.356;17.422;0;0;0;0;0;0;118.285
AEROMEXICO        ;6.935;5.594;6.398;5.691;6.483;4.821;0;0;0;0;0;0;35.922
LATINOAMERICANAS  ;175.662;146.876;121.644;130.855;132.581;125.676;0;0;0;0;0;0;833.294
AIR CANADA        ;14.417;10.594;9.396;6.088;8.425;10.619;0;0;0;0;0;0;59.539
AMERICAN AIRLINES ;16.580;11.275;10.617;10.216;9.765;8.986;0;0;0;0;0;0;67.439
DELTA AIRLINES    ;6.049;4.920;5.424;5.229;4.990;4.399;0;0;0;0;0;0;31.011
UNITED AIRLINES   ;6.299;4.721;5.006;5.036;4.199;3.648;0;0;0;0;0;0;28.909
NORTEAMERICANAS   ;43.345;31.510;30.443;26.569;27.379;27.652;0;0;0;0;0;0;186.898
IBERIA            ;9.941;8.921;9.110;9.195;9.904;9.514;0;0;0;0;0;0;56.585
AIR FRANCE        ;11.131;9.836;10.696;10.099;10.198;9.954;0;0;0;0;0;0;61.914
ALITALIA          ;6.506;4.652;3.884;5.621;5.701;5.481;0;0;0;0;0;0;31.845
BRITISH AIRWAYS   ;3.045;2.949;3.351;3.074;3.359;3.180;0;0;0;0;0;0;18.958
K.L.M.            ;5.723;6.358;5.923;4.565;3.091;3.222;0;0;0;0;0;0;28.882
