TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ; ;DE PUNTA ARENAS    ;0;0;0;0;0;0;0;0;191;215
 ;A IQUIQUE;DE CALAMA          ;0;0;0;0;0;0;0;0;1;0
 ;A ANTOFAGASTA;DE CALAMA          ;0;0;0;0;0;0;0;0;0;116
 ;A VALDIVIA;DE PUNTA ARENAS    ;0;0;0;0;0;0;0;0;2;0
 ;A PUNTA ARENAS;DE ANTARTICA CHIL. ;847;881;720;521;1.315;989;1.483;1.439;2.608;2.116
 ; ;DE BAHIA INUTIL    ;201;1.033;542;57;58;3;14;25;34;3
 ; ;DE BAHIA POSESION  ;34;16;0;21;25;22;0;0;7;0
 ; ;DE CERRO SOMBRERO  ;13;517;659;695;584;587;184;13;32;1
 ; ;DE ISLA DAWSON     ;0;0;0;0;0;0;0;122;0;0
 ; ;DE PORVENIR        ;4.664;4.887;5.620;5.891;5.585;6.123;6.045;6.839;7.361;6.911
 ; ;DE PUERTO NATALES  ;1.173;1.146;1.263;1.442;894;1.104;606;623;993;917
 ; ;DE PUERTO WILLIAMS ;5.031;4.648;4.750;5.045;5.055;6.022;7.114;6.621;7.604;9.118
 ; ;DE SAN SEBASTIAN   ;0;0;0;2;0;0;0;0;0;0
TOTAL;NACIONAL DE;AEROVIAS D.A.P.   ;11.963;13.128;13.554;13.674;13.516;14.850;15.446;18.578;29.310;40.409
LAN AIRLINES         ;A SANTIAGO;DE ARICA           ;6.982;1.562;168;1.131;18.757;39.034;52.315;8.877;31.555;4.001
 ; ;DE IQUIQUE         ;13.045;9.926;18.162;26.943;95.898;166.297;206.342;218.446;259.461;270.008
 ; ;DE ANTOFAGASTA     ;550;2.304;2.674;352;114.308;195.022;221.224;256.081;311.355;343.209
 ; ;DE CALAMA          ;48;0;260;371;116.044;196.715;258.617;347.893;342.073;269.885
 ; ;DE COPIAPO         ;0;185;180;887;525;850;4.892;10.747;42.769;61.777
 ; ;DE EL SALVADOR     ;0;0;7;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;0;0;341;162;0;0;674;9.988;1.340;21.039
 ; ;DE ISLA DE PASCUA  ;29.455;35.650;38.434;52.385;59.397;58.844;59.089;67.543;76.121;81.612
 ; ;DE CONCEPCION      ;277;541;222;179;0;242;9.411;88;2.279;631
 ; ;DE PUCON           ;0;1;0;0;0;0;0;0;0;0
 ; ;DE TEMUCO          ;12.649;9.840;1.931;860;16.686;0;247;2.641;51.437;34.437
 ; ;DE CASTRO          ;0;0;0;0;0;0;0;0;22.716;27.943
 ; ;DE OSORNO          ;7.461;5.339;0;47;0;0;75;21.488;1.609;0
 ; ;DE PUERTO MONTT    ;31.313;29.982;22.109;21.678;43.690;91.566;92.913;30.840;34.787;35.261
 ; ;DE VALDIVIA        ;91;0;70;244;0;207;123;31.102;21;92
 ; ;DE BALMACEDA       ;12.566;13.399;14.883;15.865;40.259;33.311;23.004;3.555;12.876;2.034
 ; ;DE PUNTA ARENAS    ;30.340;32.705;9.835;11.378;25.837;26.846;70.429;95.092;142.865;110.190
 ;A ARICA;DE IQUIQUE         ;4.536;2.457;712;651;437;968;4.864;532;388;674
 ; ;DE ANTOFAGASTA     ;0;11;108;0;0;0;0;0;0;0
 ; ;DE CALAMA          ;423;274;544;573;0;0;0;0;0;0
 ; ;DE COPIAPO         ;70;41;42;267;328;374;418;169;0;0
 ;A IQUIQUE;DE CALAMA          ;1.514;1.491;425;43;112;130;0;0;0;0
 ; ;DE COPIAPO         ;72;42;35;212;360;435;380;230;0;0
 ; ;DE LA SERENA       ;1;0;0;0;0;0;0;0;0;0
 ;A ANTOFAGASTA;DE IQUIQUE         ;155;74;623;69;47;115;1.418;3.506;0;21.476
 ; ;DE CALAMA          ;7;0;10;0;54;0;0;0;156;0
 ; ;DE COPIAPO         ;0;14;0;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;0;0;8;83;0;0;0;84;8.008;0
 ;A CALAMA;DE LA SERENA       ;0;0;0;0;0;0;0;163;2.040;5.949
 ;A COPIAPO;DE LA SERENA       ;0;5;26;46;0;0;0;0;0;0
 ;A EL SALVADOR;DE CALAMA          ;0;0;2;0;0;0;0;0;0;0
 ; ;DE LA SERENA       ;0;4;0;0;0;0;0;0;0;0
 ;A CONCEPCION;DE PUCON           ;0;83;0;0;0;0;0;0;0;0
