TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ;DE ARICA;A IQUIQUE         ;0;0;0;0;0;1.392;7.025;1.010;0;0
 ; ;A ANTOFAGASTA     ;0;0;0;0;0;1.079;4.694;1.036;0;0
 ; ;A CALAMA          ;0;0;0;0;0;14;88;10;0;0
 ; ;A COPIAPO         ;0;0;0;0;0;4;5;12;0;0
 ;DE IQUIQUE;A CALAMA          ;0;0;0;0;229;1.951;2.912;1.719;461;43
 ; ;A COPIAPO         ;0;0;0;0;0;313;911;155;30;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;0;0;0;0;2.627;5.542;7.825;1.682;308;12
 ; ;A CALAMA          ;0;0;0;0;68;617;534;86;21;0
 ; ;A COPIAPO         ;0;0;0;0;0;188;4.413;4.205;1.895;0
 ; ;A LA SERENA       ;0;0;0;0;0;0;36;0;0;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;17.732;7.241
 ;DE CALAMA;A COPIAPO         ;0;0;0;0;0;713;1.749;41;56;0
 ;DE COPIAPO;A CONCEPCION      ;0;0;0;0;0;0;0;0;120;0
 ;DE CONCEPCION;A CALAMA          ;0;0;0;0;0;0;0;0;119;921
TOTAL;NACIONAL DE;PAL AIRLINES;0;0;0;579;28.913;93.976;144.289;135.939;123.873;23.140
AEROLINEAS DAMOJH ;DE SANTIAGO;A IQUIQUE         ;0;0;0;0;0;0;0;2.143;1.699;0
 ; ;A ANTOFAGASTA     ;0;0;0;0;0;0;0;118;1.953;0
 ; ;A CALAMA          ;0;0;0;0;0;0;0;6.842;4.148;0
 ; ;A COPIAPO         ;0;0;0;0;0;0;0;0;451;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;124;27;0
 ;DE IQUIQUE;A CALAMA          ;0;0;0;0;0;0;0;0;78;0
 ; ;A COPIAPO         ;0;0;0;0;0;0;0;0;8;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;0;0;0;0;0;0;0;0;4;0
 ; ;A CALAMA          ;0;0;0;0;0;0;0;0;35;0
 ; ;A COPIAPO         ;0;0;0;0;0;0;0;0;163;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;587;1.922;0
 ;DE CONCEPCION;A CALAMA          ;0;0;0;0;0;0;0;349;226;0
TOTAL;NACIONAL DE;AEROLINEAS DAMOJH ;0;0;0;0;0;0;0;10.163;10.714;0
AEROLINEAS DEL SUR;DE SANTIAGO;A IQUIQUE         ;14.226;21.360;27.936;23.323;0;0;0;0;0;0
 ; ;A ANTOFAGASTA     ;14.955;32.217;54.575;35.366;0;0;0;0;0;0
 ; ;A CALAMA          ;3.642;14.721;28.903;20.216;0;0;0;0;0;0
 ; ;A CONCEPCION      ;0;0;7.040;20.913;0;0;0;0;0;0
 ; ;A TEMUCO          ;0;0;268;8.495;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;11.478;23.665;37.243;25.496;0;0;0;0;0;0
 ; ;A BALMACEDA       ;0;0;78;5.128;0;0;0;0;0;0
 ; ;A PUERTO NATALES  ;0;0;0;327;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;20.138;15.718;16.956;14.058;0;0;0;0;0;0
 ;DE IQUIQUE;A CALAMA          ;30;1.541;0;661;0;0;0;0;0;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;1.519;7.959;12.318;10.547;0;0;0;0;0;0
 ; ;A CALAMA          ;26;1.687;3.000;2.584;0;0;0;0;0;0
 ;DE CONCEPCION;A TEMUCO          ;0;0;23;2.551;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;0;0;4;389;0;0;0;0;0;0
 ; ;A BALMACEDA       ;0;0;2;1.061;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;0;0;0;187;0;0;0;0;0;0
 ;DE TEMUCO;A BALMACEDA       ;0;0;0;33;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;0;0;0;93;0;0;0;0;0;0
 ;DE PUERTO MONTT;A BALMACEDA       ;0;0;75;7.215;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;3.701;9.855;11.153;8.135;0;0;0;0;0;0
 ;DE BALMACEDA;A PUNTA ARENAS    ;0;0;0;74;0;0;0;0;0;0
TOTAL;NACIONAL DE;AEROLINEAS DEL SUR;69.715;128.723;199.574;186.852;0;0;0;0;0;0
AEROVIAS D.A.P.   ;DE SANTIAGO;A IQUIQUE         ;0;0;0;0;0;0;0;722;53;31
 ; ;A ANTOFAGASTA     ;0;0;0;0;0;0;0;1.209;2.847;12.153
 ; ;A CALAMA          ;0;0;0;0;0;0;0;1.041;31;1.074
 ; ;A COPIAPO         ;0;0;0;0;0;0;0;0;3.768;854
 ; ;A EL SALVADOR     ;0;0;0;0;0;0;0;14;4.573;5.888
 ; ;A LA SERENA       ;0;0;0;0;0;0;0;0;83;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;83;0
 ; ;A TEMUCO          ;0;0;0;0;0;0;0;0;84;0
 ; ;A PUERTO NATALES  ;0;0;0;0;0;0;0;0;0;85
 ; ;A PUNTA ARENAS    ;0;0;0;0;0;0;0;0;177;177
 ;DE ANTOFAGASTA;A EL SALVADOR     ;0;0;0;0;0;0;0;0;0;65
 ;DE CALAMA;A COPIAPO         ;0;0;0;0;0;0;0;0;0;115
 ;DE PUNTA ARENAS;A ANTARTICA CHIL. ;832;799;692;577;1.284;1.121;1.466;1.569;2.402;2.034
 ; ;A BAHIA INUTIL    ;185;1.040;584;78;45;28;24;32;0;0
 ; ;A BAHIA POSESION  ;39;18;0;15;23;19;0;0;20;0
 ; ;A CERRO SOMBRERO  ;8;300;311;400;347;385;134;14;47;14
 ; ;A ISLA DAWSON     ;0;0;0;0;0;0;0;93;0;0
 ; ;A PORVENIR        ;5.063;5.495;6.127;6.662;6.342;6.774;6.847;6.021;6.306;5.711
 ; ;A PUERTO NATALES  ;1.180;1.097;1.323;1.422;855;1.074;590;617;1.010;909
 ; ;A PUERTO WILLIAMS ;5.240;4.786;4.715;5.187;4.992;6.183;7.205;6.582;7.481;8.678
 ; ;A SAN SEBASTIAN   ;0;0;0;2;0;0;0;0;0;0
 ; ;A SOBREVUELO      ;20;8;10;40;69;225;55;25;15;0
TOTAL;NACIONAL DE;AEROVIAS D.A.P.   ;12.567;13.543;13.762;14.383;13.957;15.809;16.321;17.939;28.980;37.788
LAN AIRLINES         ;DE SANTIAGO;A SOBREVUELO      ;0;0;0;0;0;0;120;92;0;0
 ; ;A ARICA           ;13.391;6.942;2.465;1.990;19.624;28.891;27.518;11.202;11.611;1.693
 ; ;A IQUIQUE         ;15.805;15.407;18.608;24.967;98.803;179.293;221.339;203.530;256.075;282.216
 ; ;A ANTOFAGASTA     ;449;4.159;2.423;465;118.336;207.209;252.296;294.216;320.006;343.130
 ; ;A CALAMA          ;4.993;12.323;2.662;1.010;119.899;199.668;261.764;347.914;331.745;263.007
 ; ;A COPIAPO         ;180;302;444;857;740;849;4.479;9.713;43.405;60.492
 ; ;A EL SALVADOR     ;0;8;0;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;30;33;414;464;0;0;697;912;10.401;6.038
 ; ;A ISLA DE PASCUA  ;30.184;36.694;39.776;54.222;60.742;59.569;59.692;67.538;76.472;82.063
 ; ;A CONCEPCION      ;299;723;221;269;294;35;9.920;0;2.359;665
 ; ;A PUCON           ;0;1;0;0;0;0;0;0;0;0
 ; ;A TEMUCO          ;228;16;783;1.827;17.255;0;184;2.836;53.132;33.972
 ; ;A CASTRO          ;0;0;0;0;0;0;0;0;22.309;27.232
 ; ;A OSORNO          ;0;75;94;54;0;0;144;20.360;1.605;0
 ; ;A PUERTO MONTT    ;35.896;39.705;27.321;24.758;52.635;89.874;106.601;27.645;37.653;39.463
 ; ;A VALDIVIA        ;52;57;28;468;0;255;455;31.946;32;127
 ; ;A BALMACEDA       ;13.256;14.846;15.140;13.334;39.751;35.941;22.150;3.349;11.287;1.754
 ; ;A PUNTA ARENAS    ;23.968;27.525;17.442;11.395;59.316;50.509;78.734;67.259;96.262;89.513
 ;DE ARICA;A IQUIQUE         ;3.240;794;61;338;548;630;1.294;1.851;950;62
 ; ;A ANTOFAGASTA     ;0;0;29;0;0;0;0;0;0;0
 ; ;A CALAMA          ;0;0;0;22;0;0;0;0;0;0
 ; ;A COPIAPO         ;0;0;13;105;186;331;407;185;0;0
 ;DE IQUIQUE;A CALAMA          ;0;0;0;58;70;170;0;0;0;0
 ; ;A COPIAPO         ;0;0;4;79;376;356;400;232;0;0
 ; ;A LA SERENA       ;0;0;48;61;0;0;0;0;0;0
 ; ;A CONCEPCION      ;0;0;3;0;0;105;0;0;0;149
 ;DE ANTOFAGASTA;A IQUIQUE         ;176;53;705;241;55;218;1.305;17.554;4.406;20.287
 ; ;A CALAMA          ;3;0;59;0;0;0;0;0;0;0
 ; ;A COPIAPO         ;0;66;10;0;0;91;0;0;0;0
 ; ;A EL SALVADOR     ;0;0;2;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;0;0;0;12;0;0;0;9.119;32;12.587
 ; ;A CONCEPCION      ;0;0;0;0;110;0;0;0;0;0
 ;DE CALAMA;A COPIAPO         ;0;0;0;0;0;0;102;0;0;0
 ; ;A LA SERENA       ;0;0;0;0;0;0;0;168;1.311;10.065
 ;DE COPIAPO;A EL SALVADOR     ;0;7;0;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;0;0;17;0;0;0;0;0;0;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;62;0
 ;DE CONCEPCION;A PUCON           ;0;83;0;0;0;0;0;0;0;0
 ; ;A TEMUCO          ;1;0;13;33;0;0;0;0;0;0
 ; ;A OSORNO          ;0;22;0;0;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;9;158;98;17;78;0;0;0;0;0
 ; ;A VALDIVIA        ;17;4;7;49;0;0;0;0;0;0
 ;DE TEMUCO;A OSORNO          ;0;2;4;0;0;0;0;0;0;0
 ; ;A BALMACEDA       ;0;0;169;390;165;0;34;106;0;0
 ; ;A PUNTA ARENAS    ;41;0;0;0;0;0;0;0;0;0
 ;DE OSORNO;A VALDIVIA        ;0;0;0;0;0;0;0;0;24;0
 ;DE PUERTO MONTT;A TEMUCO          ;320;535;129;116;259;0;0;0;0;0
 ; ;A CASTRO          ;0;0;0;0;0;0;0;0;6.370;5.486
 ; ;A OSORNO          ;0;14;0;0;0;0;0;0;0;0
 ; ;A VALDIVIA        ;0;0;10;0;0;0;0;6;0;0
 ; ;A BALMACEDA       ;12.540;12.828;14.137;16.883;37.992;45.003;34.774;41.393;44.934;45.868
 ; ;A PUNTA ARENAS    ;11.438;12.158;5.069;122;7.091;9.239;8.790;45.185;15.893;10.081
 ;DE VALDIVIA;A BALMACEDA       ;0;0;0;0;0;0;0;91;0;0
 ;DE BALMACEDA;A PUNTA ARENAS    ;1.753;1.275;903;0;0;1.582;0;0;0;0
 ;DE PUNTA ARENAS;A SOBREVUELO      ;0;0;0;34;0;0;0;0;0;0
TOTAL;NACIONAL DE;LAN AIRLINES         ;168.269;186.815;149.311;154.640;634.325;909.818;1.093.199;1.204.402;1.348.336;1.335.950
LAN EXPRESS       ;DE SANTIAGO;A ARICA           ;38.542;46.376;67.845;79.813;78.889;73.974;90.822;131.445;144.364;167.634
 ; ;A IQUIQUE         ;81.092;83.214;114.593;142.825;110.854;72.156;84.176;132.501;94.276;59.111
 ; ;A ANTOFAGASTA     ;127.527;118.393;151.977;209.074;155.336;137.071;138.538;181.839;230.711;289.757
 ; ;A CALAMA          ;90.072;84.389;105.969;134.999;52.889;17.888;4.715;22.996;159.406;236.198
 ; ;A COPIAPO         ;35.923;28.993;41.120;68.549;71.877;85.952;120.675;158.700;165.480;132.500
 ; ;A EL SALVADOR     ;5.912;5.488;4.309;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;54.302;61.786;86.113;114.906;121.256;143.048;165.042;184.504;181.006;186.947
 ; ;A ISLA DE PASCUA  ;0;0;0;0;0;1.245;0;0;0;0
 ; ;A CHILLAN         ;556;374;0;0;0;0;0;0;0;0
 ; ;A CONCEPCION      ;147.892;154.990;194.265;226.873;233.290;261.255;299.958;333.958;324.592;318.983
 ; ;A PUCON           ;1.292;994;1.238;1.218;0;995;1.734;1.639;0;0
 ; ;A TEMUCO          ;69.701;68.843;82.174;99.666;79.633;124.229;138.501;157.004;113.877;146.005
 ; ;A CASTRO          ;0;0;0;0;0;0;0;3.142;0;96
 ; ;A OSORNO          ;27.536;25.670;34.697;23.082;54.318;50.177;53.268;33.425;43.774;37.522
 ; ;A PUERTO MONTT    ;94.409;95.258;152.149;194.017;168.554;136.678;136.611;262.526;271.562;290.773
 ; ;A VALDIVIA        ;26.754;26.936;34.298;44.777;27.279;51.301;59.623;41.425;39.297;43.200
 ; ;A BALMACEDA       ;18.144;19.182;25.203;30.451;13.778;23.091;44.572;66.874;68.920;81.661
 ; ;A PUNTA ARENAS    ;69.141;75.336;112.084;121.536;92.119;109.069;101.954;127.581;120.716;137.813
 ;DE ARICA;A IQUIQUE         ;22.666;26.581;20.394;11.531;12.356;13.441;16.404;15.256;15.339;16.053
 ; ;A ANTOFAGASTA     ;1.785;2.680;4.278;1.334;0;0;137;0;0;0
 ; ;A CALAMA          ;951;832;208;211;0;0;0;0;149;0
 ; ;A COPIAPO         ;416;330;264;906;447;361;539;178;0;0
 ; ;A LA SERENA       ;973;1.124;589;0;0;0;0;0;0;0
 ; ;A CONCEPCION      ;0;37;5;0;0;0;0;0;0;0
 ;DE IQUIQUE;A CALAMA          ;2.496;2.478;2.702;3.593;82;107;0;0;102;0
 ; ;A COPIAPO         ;565;621;694;640;880;459;571;254;0;0
 ; ;A LA SERENA       ;7.010;7.266;6.173;1.289;0;68;0;0;0;0
 ; ;A CONCEPCION      ;0;81;2;0;0;0;0;0;0;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;20.836;22.031;18.595;23.862;28.872;33.826;35.013;23.063;49.062;31.271
 ; ;A CALAMA          ;8.546;8.210;5.592;1.548;0;0;0;91;0;87
 ; ;A COPIAPO         ;5.951;4.679;3.289;2;0;136;134;0;0;0
 ; ;A EL SALVADOR     ;97;73;66;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;11.922;13.190;13.797;21.407;24.634;27.253;28.228;32.100;42.495;34.906
 ; ;A CONCEPCION      ;0;101;204;0;0;106;0;0;0;0
 ;DE CALAMA;A COPIAPO         ;671;753;403;96;0;0;0;95;0;87
 ; ;A LA SERENA       ;0;0;0;0;0;804;1.964;1.927;7.589;10.930
 ;DE COPIAPO;A EL SALVADOR     ;1.111;1.021;325;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;1.946;1.542;890;1.417;877;521;1.629;444;109;92
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;0;169
 ;DE EL SALVADOR;A CALAMA          ;217;364;82;0;0;0;0;0;0;0
 ; ;A LA SERENA       ;570;349;0;0;0;0;0;0;0;0
 ;DE CONCEPCION;A VI_A DEL MAR    ;0;126;0;0;0;0;0;0;0;0
 ; ;A TEMUCO          ;2.835;2.686;1.112;90;2;0;0;0;0;0
 ; ;A OSORNO          ;1.917;723;2.615;0;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;10.158;10.493;6.877;635;0;59;0;0;144;0
 ; ;A VALDIVIA        ;4.878;4.687;1.408;1.133;86;0;0;0;0;0
 ; ;A BALMACEDA       ;0;0;392;377;0;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;129;676;0;0;0;0;0;0;0;0
 ;DE TEMUCO;A PUCON           ;1;0;1;0;0;3;15;10;0;0
 ; ;A OSORNO          ;11.779;11.429;251;373;1.864;368;690;0;0;0
 ; ;A VALDIVIA        ;387;821;992;0;0;0;0;0;0;0
 ; ;A BALMACEDA       ;1.700;1.715;1.350;1.834;334;70;84;119;0;0
 ; ;A PUNTA ARENAS    ;1.352;1.020;0;0;0;0;0;0;0;0
 ;DE OSORNO;A VALDIVIA        ;24;0;0;54;22;164;47;36;298;27
 ;DE PUERTO MONTT;A TEMUCO          ;7.705;5.546;2.249;601;768;0;28;0;0;0
 ; ;A CASTRO          ;0;0;0;0;0;0;0;896;0;0
 ; ;A OSORNO          ;5;42;0;0;0;0;0;0;0;0
 ; ;A VALDIVIA        ;257;236;244;122;0;8;0;0;0;0
 ; ;A BALMACEDA       ;18.432;17.510;23.551;24.584;13.110;1.696;22.713;25.934;31.151;34.757
 ; ;A PUNTA ARENAS    ;28.875;24.823;35.229;48.584;53.531;44.046;52.369;29.508;58.626;68.066
 ;DE VALDIVIA;A BALMACEDA       ;0;0;0;0;0;18;956;523;0;0
 ;DE BALMACEDA;A PUNTA ARENAS    ;65;0;200;356;0;560;0;0;0;0
 ;DE PUNTA ARENAS;A SOBREVUELO      ;351;300;258;241;0;0;0;0;0;0
TOTAL;NACIONAL DE;LAN EXPRESS       ;1.068.374;1.073.398;1.363.315;1.638.606;1.397.937;1.412.203;1.601.710;1.969.993;2.163.045;2.324.645
ONE SPA           ;DE SANTIAGO;A ANTOFAGASTA     ;0;0;0;0;0;0;0;0;0;3.402
 ; ;A CALAMA          ;0;0;0;0;0;0;0;0;0;340
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;0;422
 ;DE ANTOFAGASTA;A CONCEPCION      ;0;0;0;0;0;0;0;0;0;2.664
TOTAL;NACIONAL DE;ONE SPA           ;0;0;0;0;0;0;0;0;0;6.828
PLUNA             ;DE SANTIAGO;A CONCEPCION      ;0;0;0;0;0;0;0;4.538;0;0
 ; ;A PUNTA ARENAS    ;0;0;0;0;189;81;0;0;0;0
TOTAL;NACIONAL DE;PLUNA             ;0;0;0;0;189;81;0;4.538;0;0
SKY AIRLINE       ;DE SANTIAGO;A ARICA           ;27.013;24.619;25.343;27.346;32.240;33.469;36.806;47.800;63.774;65.819
 ; ;A IQUIQUE         ;36.758;33.853;30.368;29.802;35.912;44.621;66.315;65.684;83.770;92.763
 ; ;A ANTOFAGASTA     ;46.091;49.098;56.935;56.120;72.825;93.762;90.280;113.089;139.927;171.271
 ; ;A CALAMA          ;27.098;25.638;31.697;40.665;50.453;57.929;61.625;96.370;136.659;129.438
 ; ;A COPIAPO         ;0;13.733;21.224;16.810;21.836;33.196;47.217;58.455;67.111;71.248
 ; ;A EL SALVADOR     ;0;0;1.018;5.247;4.011;3.791;5.640;7.074;446;0
 ; ;A LA SERENA       ;0;0;0;118;0;12.367;32.500;40.647;49.271;66.952
 ; ;A CONCEPCION      ;33.120;31.128;31.125;27.576;35.328;55.758;53.525;65.406;92.084;120.308
 ; ;A PUCON           ;365;636;651;561;0;586;1.075;643;961;0
 ; ;A TEMUCO          ;22.606;24.025;29.265;25.890;27.970;29.264;38.747;45.656;63.582;73.660
 ; ;A OSORNO          ;212;0;208;6.255;115;89;0;0;177;2.161
 ; ;A PUERTO MONTT    ;25.730;19.863;14.924;24.840;31.912;36.383;52.369;63.168;80.416;82.253
 ; ;A VALDIVIA        ;0;77;13;5.095;2.088;103;541;741;15.202;22.933
 ; ;A BALMACEDA       ;11.560;11.453;11.600;9.286;9.879;10.633;13.296;12.212;17.544;19.564
 ; ;A PUERTO NATALES  ;0;0;0;309;654;7;0;20;0;0
 ; ;A PUNTA ARENAS    ;12.667;10.423;9.528;15.471;21.201;24.341;23.279;27.023;31.007;34.123
 ;DE ARICA;A IQUIQUE         ;6.366;6.543;11.201;13.993;9.182;9.178;10.027;18.862;26.904;27.833
 ; ;A ANTOFAGASTA     ;4.795;4.963;6.352;9.024;9.481;8.638;7.214;9.413;13.084;14.269
 ; ;A CALAMA          ;0;0;0;111;13;289;125;0;0;0
 ; ;A COPIAPO         ;0;941;1.815;1.883;2.150;2.171;701;0;0;0
 ;DE IQUIQUE;A CALAMA          ;0;1;5;1.251;1.340;1.143;36;16;0;0
 ; ;A COPIAPO         ;0;1.905;3.420;3.589;3.475;3.553;869;0;0;0
 ; ;A LA SERENA       ;0;0;53;0;0;0;0;0;0;0
 ; ;A CONCEPCION      ;0;0;0;0;0;139;0;0;65;0
 ;DE ANTOFAGASTA;A IQUIQUE         ;5.296;4.109;2.933;3.969;5.671;10.986;17.489;34.074;49.006;54.818
 ; ;A CALAMA          ;1.464;2.702;4.969;8.326;7.503;9.377;9.631;5.268;1.360;336
 ; ;A SOBREVUELO      ;0;0;0;0;0;15;0;0;0;0
 ; ;A COPIAPO         ;0;1.698;2.591;1.461;1.857;2.685;416;1.436;280;223
 ; ;A EL SALVADOR     ;0;0;93;728;411;159;64;101;0;0
 ; ;A LA SERENA       ;0;0;63;0;0;7.040;19.485;21.200;24.730;26.533
 ; ;A VI_A DEL MAR    ;0;0;0;58;0;0;0;102;0;0
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;124;409
 ;DE CALAMA;A COPIAPO         ;0;14;999;2.513;2.670;3.946;3.246;3.755;5.014;1.661
 ; ;A LA SERENA       ;0;0;0;0;0;129;1.516;6.067;9.242;8.692
 ;DE COPIAPO;A EL SALVADOR     ;0;0;49;138;113;50;3;1;0;0
 ; ;A LA SERENA       ;0;0;0;0;0;286;2.681;3.937;4.465;368
 ; ;A VI_A DEL MAR    ;0;0;0;0;0;46;0;0;0;0
 ;DE EL SALVADOR;A LA SERENA       ;0;0;0;0;0;0;38;101;14;0
 ;DE CONCEPCION;A CALAMA          ;0;0;0;0;0;0;0;0;0;1.155
 ; ;A VI_A DEL MAR    ;0;0;57;0;0;0;0;0;0;0
 ; ;A PUCON           ;0;18;39;0;0;46;46;24;46;0
 ; ;A TEMUCO          ;1.572;2.671;4.727;6.622;5.819;5.029;3.533;1.781;1.111;234
 ; ;A OSORNO          ;0;0;0;29;0;0;0;0;0;0
 ; ;A PUERTO MONTT    ;3.638;2.978;1.845;9.898;11.780;12.936;17.190;21.012;21.570;10.594
 ; ;A VALDIVIA        ;0;0;0;558;257;0;0;0;4.468;0
 ; ;A BALMACEDA       ;0;600;746;2.822;4.658;2.451;405;0;0;0
 ; ;A PUNTA ARENAS    ;1.885;1.535;2.479;2.384;826;1.064;0;0;0;0
 ; ;A VALDIVIA        ;0;0;0;0;0;0;0;0;0;8.764
 ;DE TEMUCO;A PUCON           ;28;177;3;95;0;86;0;0;0;0
 ; ;A OSORNO          ;0;0;0;242;0;0;0;0;0;0
 ; ;A VALDIVIA        ;0;0;0;1;0;0;0;0;0;0
 ; ;A BALMACEDA       ;0;0;0;1.823;3.416;2.614;429;0;0;0
 ; ;A PUNTA ARENAS    ;0;0;0;78;0;41;0;0;0;57
 ;DE OSORNO;A VALDIVIA        ;0;0;0;1;0;0;0;0;0;0
 ;DE PUERTO MONTT;A TEMUCO          ;62;301;544;4.667;2.770;6.081;6.834;8.202;2.870;0
 ; ;A OSORNO          ;0;0;0;6;0;0;0;0;0;0
 ; ;A VALDIVIA        ;0;0;0;0;86;0;19;33;38;0
 ; ;A BALMACEDA       ;12.041;12.064;11.974;12.852;16.894;18.314;19.371;21.025;24.768;27.777
 ; ;A PUERTO NATALES  ;0;0;0;178;334;4;0;783;0;0
 ; ;A PUNTA ARENAS    ;7.247;7.453;7.115;11.832;13.158;19.113;18.400;20.098;25.792;27.253
 ;DE VALDIVIA;A BALMACEDA       ;0;0;0;0;187;0;0;0;0;0
 ;DE BALMACEDA;A PUERTO NATALES  ;0;0;0;0;0;0;0;3;0;0
 ; ;A PUNTA ARENAS    ;1.626;3.406;5.176;6.082;5.228;2.827;5.536;5.559;3.749;3.520
 ;DE PUNTA ARENAS;A PUERTO NATALES  ;0;0;0;599;130;656;2.496;2.265;1.411;0
TOTAL;NACIONAL DE;SKY AIRLINE       ;289.240;298.625;333.147;399.204;455.833;567.391;671.015;829.106;1.062.042;1.166.989
XTRA AIRWAYS      ;DE SANTIAGO;A ANTOFAGASTA     ;0;0;0;0;0;0;0;0;3.128;9.546
 ; ;A CALAMA          ;0;0;0;0;0;0;0;0;574;6.066
 ; ;A CONCEPCION      ;0;0;0;0;0;0;0;0;264;11
 ;DE ANTOFAGASTA;A CONCEPCION      ;0;0;0;0;0;0;0;0;4.101;8.995
 ;DE CONCEPCION;A CALAMA          ;0;0;0;0;0;0;0;0;0;2.713
TOTAL;NACIONAL DE;XTRA AIRWAYS      ;0;0;0;0;0;0;0;0;8.067;27.331
TOTAL;GENERAL;DE DATOS;1.608.165;1.701.104;2.059.109;2.394.264;2.531.154;2.999.278;3.526.534;4.172.080;4.745.057;4.922.671
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS TOTALES (Llegados+Salidos);;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;CIUDAD;CIUDAD;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;SANTIAGO CON;ARICA           ;0;0;0;0;0;6.336;33.777;8.755;0;0
 ; ;IQUIQUE         ;0;0;0;0;20.869;44.740;63.701;70.489;34.240;4.033
 ; ;ANTOFAGASTA     ;0;0;0;287;30.528;74.249;68.227;61.452;47.838;3.856
 ; ;CALAMA          ;0;0;0;0;1.951;39.165;43.920;80.429;119.982;19.515
 ; ;COPIAPO         ;0;0;0;0;0;4.886;25.569;32.718;10.871;256
 ; ;LA SERENA       ;0;0;0;0;0;0;125;0;0;458
 ; ;CONCEPCION      ;0;0;0;0;143;0;374;0;528;475
 ; ;TEMUCO          ;0;0;0;292;0;222;0;0;0;0
 ; ;OSORNO          ;0;0;0;0;0;0;265;0;0;0
 ; ;PUERTO MONTT    ;0;0;0;0;211;0;0;0;0;0
 ; ;VALDIVIA        ;0;0;0;0;141;0;0;0;0;0
 ; ;PUNTA ARENAS    ;0;0;0;198;0;0;0;0;0;0
 ;ARICA CON;IQUIQUE         ;0;0;0;0;0;2.481;12.607;1.687;0;0
 ; ;ANTOFAGASTA     ;0;0;0;0;0;2.245;8.619;1.959;0;0
 ; ;CALAMA          ;0;0;0;0;0;14;197;18;0;0
 ; ;COPIAPO         ;0;0;0;0;0;4;40;45;0;0
 ;IQUIQUE CON;CALAMA          ;0;0;0;0;412;3.048;4.445;3.079;857;43
 ; ;COPIAPO         ;0;0;0;0;0;388;1.786;191;36;0
 ;ANTOFAGASTA CON;IQUIQUE         ;0;0;0;0;5.326;11.484;17.130;4.117;736;12
 ; ;CALAMA          ;0;0;0;0;142;1.331;2.947;144;30;0
 ; ;COPIAPO         ;0;0;0;0;0;212;6.248;7.027;3.095;0
 ; ;LA SERENA       ;0;0;0;0;0;0;84;0;0;0
 ; ;CONCEPCION      ;0;0;0;0;0;0;0;0;33.938;16.743
 ;CALAMA CON;COPIAPO         ;0;0;0;0;0;1.474;3.040;54;56;0
 ;COPIAPO CON;CONCEPCION      ;0;0;0;0;0;0;0;0;240;0
 ;CONCEPCION CON;CALAMA          ;0;0;0;0;0;0;0;0;592;1.332
TOTAL;NACIONAL DE;PAL AIRLINES;0;0;0;777;59.723;192.279;293.101;272.164;253.039;46.723
AEROLINEAS DAMOJH ;SANTIAGO CON;IQUIQUE         ;0;0;0;0;0;0;0;4.541;3.387;0
 ; ;ANTOFAGASTA     ;0;0;0;0;0;0;0;748;3.150;0
 ; ;CALAMA          ;0;0;0;0;0;0;0;14.761;8.282;0
 ; ;COPIAPO         ;0;0;0;0;0;0;0;0;869;0
 ; ;CONCEPCION      ;0;0;0;0;0;0;0;244;32;0
